GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
4280	pmid: 21964254	6	23	4
4280	pmid: 21964254	9	25	8
2011	pmid: 21964254	14	5	3
55364	pmid: 23497730	5	26	19
4858	pmid: 23497730	11	15	11
55364	pmid: 21391902	8	49	4
6647	pmid: 22219285	2	15	13
6647	pmid: 22219285	4	26	2
1057	pmid: 22219285	8	16	15
6647	pmid: 22219285	8	16	5
6647	pmid: 22219285	12	33	17
6647	pmid: 22595972	4	16	5
6647	pmid: 22595972	6	28	27
6647	pmid: 22595972	7	24	10
6647	pmid: 22595972	8	33	20
6647	pmid: 22595972	9	23	22
6647	pmid: 22595972	10	31	6
6647	pmid: 22595972	11	36	28
1319	pmid: 23164079	2	20	18
1319	pmid: 23164079	3	43	14
1319	pmid: 23164079	4	43	13
1319	pmid: 23164079	7	26	6
55364	pmid: 21810174	4	48	37
2011	pmid: 21810174	6	9	8
1057	pmid: 23235148	6	40	8
2011	pmid: 22226010	11	5	3
94032	pmid: 23545117	2	21	19
1057	pmid: 23545117	7	17	5
94032	pmid: 23545117	9	19	10
2013	pmid: 23545117	12	5	3
1057	pmid: 23027932	5	34	22
1319	pmid: 23027932	5	34	18
1057	pmid: 23027932	6	33	15
4280	pmid: 23027932	7	26	13
2005	pmid: 23777095	4	24	22
1319	pmid: 22351600	6	27	26
6647	pmid: 22351600	7	42	22
2012	pmid: 22351600	10	6	3
6647	pmid: 22332887	4	21	5
6647	pmid: 22332887	5	32	13
4280	pmid: 22332887	6	31	9
6647	pmid: 22332887	6	31	16
1057	pmid: 22332887	9	37	2
2012	pmid: 22332887	10	4	2
2012	pmid: 22332887	11	9	5
203228	pmid: 22875086	4	39	30
203228	pmid: 22875086	6	30	2
203228	pmid: 22875086	10	29	2
203228	pmid: 22875087	2	10	5
203228	pmid: 22875087	4	27	20
203228	pmid: 22875087	10	21	4
6647	pmid: 21998625	2	16	9
6647	pmid: 21998625	4	20	9
4280	pmid: 21998625	6	40	29
4280	pmid: 21998625	7	24	2
6647	pmid: 21998625	9	25	20
