DiseaseName	PMID	Line index	The # of total tokens in sentence	Start position of tagged disease in sentence
pa445254	pmid: 22377809	3	29	27
pa445254	pmid: 22376158	5	36	14
pa445254	pmid: 22376158	7	16	8
pa445254	pmid: 22371705	2	20	19
pa445254	pmid: 22371705	4	52	39
pa445254	pmid: 22371611	2	13	4
pa445254	pmid: 22371611	3	57	40
pa445254	pmid: 22371284	2	12	11
pa445254	pmid: 22367998	2	11	10
pa445254	pmid: 22367998	3	25	11
pa445254	pmid: 22367997	2	10	9
pa445254	pmid: 22367997	4	18	16
pa445254	pmid: 22367997	5	36	30
pa445254	pmid: 22367474	2	11	10
pa445254	pmid: 22367474	3	33	13
pa445254	pmid: 22367474	4	26	9
pa445254	pmid: 22367474	5	25	8
pa445254	pmid: 22367474	12	13	2
pa445254	pmid: 22367436	4	24	20
pa445254	pmid: 22366274	3	30	15
pa445254	pmid: 22366274	5	36	3
pa445254	pmid: 22366274	14	19	7
pa445254	pmid: 22362921	2	18	17
pa445254	pmid: 22362921	3	20	4
pa445254	pmid: 22362921	5	59	39
pa445254	pmid: 22361583	3	30	11
pa445254	pmid: 22361581	3	29	3
pa445254	pmid: 22359591	2	21	20
pa445254	pmid: 22359591	3	20	18
pa445254	pmid: 22357511	3	46	42
pa445254	pmid: 22354395	3	12	3
pa445254	pmid: 22354395	6	34	9
pa445254	pmid: 22354157	2	20	14
pa445254	pmid: 22354157	3	43	19
pa445254	pmid: 22354088	3	22	13
pa445254	pmid: 22353987	2	14	13
pa445254	pmid: 22353987	8	20	8
pa445254	pmid: 22353727	2	18	6
pa445254	pmid: 22353727	3	20	11
pa445254	pmid: 22351797	6	46	41
pa445254	pmid: 22350538	2	8	5
pa445254	pmid: 22350538	3	19	6
pa445254	pmid: 22349549	2	11	10
pa445254	pmid: 22344625	2	13	12
pa445254	pmid: 22344625	3	17	15
pa445254	pmid: 22343151	2	10	5
pa445254	pmid: 22343151	3	28	13
pa445254	pmid: 22342763	3	22	9
pa445254	pmid: 22341818	2	13	12
pa445254	pmid: 22341818	4	30	29
pa445254	pmid: 22341818	15	25	23
pa445254	pmid: 22341622	2	13	12
pa445254	pmid: 22341622	3	30	18
pa445254	pmid: 22341622	6	28	10
pa445254	pmid: 22339293	3	19	6
pa445254	pmid: 22336720	4	39	25
pa445254	pmid: 22336192	3	13	12
pa445254	pmid: 22334391	10	30	29
pa445254	pmid: 22334107	2	10	8
pa445254	pmid: 22334107	4	17	12
pa445254	pmid: 22334107	6	16	14
pa445254	pmid: 22334107	8	30	4
pa445254	pmid: 22334107	19	16	14
pa445254	pmid: 22334107	21	13	2
pa445254	pmid: 22333397	2	10	9
pa445254	pmid: 22333397	3	28	12
pa445254	pmid: 22333397	6	10	9
pa445254	pmid: 22333397	10	26	22
pa445254	pmid: 22333397	11	17	16
pa445254	pmid: 22333397	16	24	8
pa445254	pmid: 22328094	8	33	25
pa445254	pmid: 22323779	2	18	11
pa445254	pmid: 22323748	2	9	8
pa445254	pmid: 22323748	3	13	11
pa445254	pmid: 22323745	3	31	5
pa445254	pmid: 22323743	2	13	8
pa445254	pmid: 22323743	3	38	12
pa445254	pmid: 22321866	2	20	17
pa445254	pmid: 22321866	3	33	2
pa445254	pmid: 22321866	15	28	4
pa445254	pmid: 22321864	2	18	3
pa445254	pmid: 22319547	2	16	14
pa445254	pmid: 22319547	3	30	15
pa445254	pmid: 22316445	2	10	9
pa445254	pmid: 22316445	3	19	3
pa445254	pmid: 22316445	5	24	23
pa445254	pmid: 22316445	9	28	21
pa445254	pmid: 22316445	15	24	13
pa445254	pmid: 22315971	2	28	27
pa445254	pmid: 22315971	3	22	20
pa445254	pmid: 22315428	10	30	14
pa445254	pmid: 22314796	2	11	7
pa445254	pmid: 22310988	2	15	14
pa445254	pmid: 22307450	3	33	32
pa445254	pmid: 22307450	4	24	4
pa445254	pmid: 22307450	8	20	8
pa445254	pmid: 22303740	6	29	2
pa445254	pmid: 22301995	2	18	17
pa445254	pmid: 22301995	3	21	15
pa445254	pmid: 22301995	6	29	28
pa445254	pmid: 22301561	3	19	14
pa445254	pmid: 22298861	3	19	13
pa445254	pmid: 22297542	5	27	15
pa445254	pmid: 22296116	4	29	14
pa445254	pmid: 22295119	2	16	9
pa445254	pmid: 22291041	2	15	10
pa445254	pmid: 22291041	3	14	12
pa445254	pmid: 22287946	2	8	7
pa445254	pmid: 22287946	3	42	13
pa445254	pmid: 22287946	8	11	10
pa445254	pmid: 22285116	2	8	7
pa445254	pmid: 22285116	3	24	16
pa445254	pmid: 22282650	2	9	3
pa445254	pmid: 22282650	3	14	12
pa445254	pmid: 22282650	6	15	11
pa445254	pmid: 22282641	2	13	12
pa445254	pmid: 22282641	3	25	23
pa445254	pmid: 22278219	12	29	28
pa445254	pmid: 22278152	2	12	11
pa445254	pmid: 22278152	3	12	11
pa445254	pmid: 22278152	4	20	11
pa445254	pmid: 22278152	5	23	13
pa445254	pmid: 22278152	7	32	24
pa445254	pmid: 22278152	10	18	5
pa445254	pmid: 22278152	11	15	11
pa445254	pmid: 22278152	12	12	11
pa445254	pmid: 22278152	13	21	20
pa445254	pmid: 22278003	4	37	16
pa445254	pmid: 22277522	4	29	4
pa445254	pmid: 22277493	4	35	33
pa445254	pmid: 22277466	8	18	17
pa445254	pmid: 22277445	6	32	31
pa445254	pmid: 22277432	5	37	25
pa445254	pmid: 22275429	4	12	2
pa445254	pmid: 22275251	2	19	15
pa445254	pmid: 22275251	4	28	26
pa445254	pmid: 22273734	2	8	7
pa445254	pmid: 22273734	3	21	18
pa445254	pmid: 22271527	3	19	17
pa445254	pmid: 22271259	4	26	12
pa445254	pmid: 22269801	3	19	18
pa445254	pmid: 22268009	2	17	8
pa445254	pmid: 22265822	5	18	16
pa445254	pmid: 22262745	2	9	8
pa445254	pmid: 22262741	2	12	7
pa445254	pmid: 22262741	3	15	13
pa445254	pmid: 22261609	2	12	11
pa445254	pmid: 22261609	3	16	14
pa445254	pmid: 22260015	2	10	9
pa445254	pmid: 22260015	3	17	16
pa445254	pmid: 22260015	7	29	19
pa445254	pmid: 22260015	9	10	9
pa445254	pmid: 22258155	2	12	7
pa445254	pmid: 22258155	3	13	11
pa445254	pmid: 22256772	2	11	10
pa445254	pmid: 22255666	2	16	7
pa445254	pmid: 22255666	4	15	12
pa445254	pmid: 22254350	6	25	19
pa445254	pmid: 22254331	2	10	9
pa445254	pmid: 22254331	3	14	9
