DiseaseName	PMID	Line index	The # of total tokens in sentence	Start position of tagged disease in sentence
ms	pmid: 22280405	2	12	7
ms	pmid: 22280405	3	43	17
ms	pmid: 23242012	2	14	4
ms	pmid: 23242012	3	41	23
ms	pmid: 22872097	4	19	17
ms	pmid: 21953022	2	28	25
ms	pmid: 21953022	3	23	21
ms	pmid: 22116823	4	27	23
ms	pmid: 22038575	7	15	13
ms	pmid: 21161391	3	23	17
ms	pmid: 22006815	3	11	8
ms	pmid: 23056052	3	17	15
ms	pmid: 22619225	2	21	6
ms	pmid: 22396755	2	11	5
ms	pmid: 22396755	3	17	15
ms	pmid: 22110978	2	10	5
ms	pmid: 22110978	3	30	13
ms	pmid: 22188035	2	12	5
ms	pmid: 22888211	4	24	7
ms	pmid: 22160466	3	16	14
ms	pmid: 21862036	2	12	4
ms	pmid: 22747904	2	18	8
ms	pmid: 22747904	7	39	26
ms	pmid: 21649611	3	13	4
ms	pmid: 22001684	2	10	8
ms	pmid: 22001684	3	39	2
ms	pmid: 22240715	2	14	6
ms	pmid: 22240715	3	19	7
ms	pmid: 22925418	3	28	11
ms	pmid: 23422639	6	15	5
ms	pmid: 22119175	5	37	34
ms	pmid: 21543525	2	12	6
ms	pmid: 21543525	3	19	17
ms	pmid: 22234717	3	21	19
ms	pmid: 22234713	2	16	14
ms	pmid: 22234713	3	27	20
ms	pmid: 22933080	3	22	20
ms	pmid: 22815277	11	33	23
ms	pmid: 23132327	2	10	6
ms	pmid: 23132327	3	14	12
ms	pmid: 23355896	3	37	18
ms	pmid: 23355896	4	30	10
ms	pmid: 23160197	3	17	2
ms	pmid: 23402677	3	16	14
ms	pmid: 24028994	2	25	9
ms	pmid: 24028994	3	21	10
ms	pmid: 24028994	9	35	18
ms	pmid: 22649194	3	21	15
ms	pmid: 23758972	2	14	3
ms	pmid: 23758972	3	17	4
ms	pmid: 23758972	4	16	9
ms	pmid: 23758972	7	28	6
ms	pmid: 23758972	9	20	7
ms	pmid: 23758972	10	13	3
ms	pmid: 21949917	2	18	2
ms	pmid: 23793699	2	19	17
ms	pmid: 23793699	3	33	30
ms	pmid: 22487571	8	32	15
ms	pmid: 21911588	2	17	8
ms	pmid: 21911588	14	27	19
ms	pmid: 22484845	2	9	3
ms	pmid: 22484845	3	15	8
ms	pmid: 22106296	3	27	8
ms	pmid: 22581754	4	40	36
ms	pmid: 22421587	7	37	36
ms	pmid: 23431447	4	18	16
ms	pmid: 22816507	2	17	12
ms	pmid: 22816507	3	21	19
ms	pmid: 22271152	3	20	18
ms	pmid: 22289117	2	14	6
ms	pmid: 22289117	3	21	19
ms	pmid: 22486199	3	10	2
ms	pmid: 22615252	3	18	10
ms	pmid: 22426759	3	24	19
ms	pmid: 22426759	4	23	21
ms	pmid: 23766909	2	11	4
ms	pmid: 23766909	3	35	21
ms	pmid: 23766909	4	15	6
ms	pmid: 23766908	3	13	3
ms	pmid: 23766907	4	51	16
ms	pmid: 23062430	10	34	32
ms	pmid: 22615327	2	12	7
ms	pmid: 22615327	3	28	17
ms	pmid: 24179780	3	11	4
ms	pmid: 23277008	3	33	30
ms	pmid: 22677679	3	55	26
ms	pmid: 22677678	3	21	10
ms	pmid: 22677673	2	13	11
ms	pmid: 22677672	2	12	3
ms	pmid: 22677672	3	43	17
ms	pmid: 22276094	3	19	17
ms	pmid: 22677674	2	14	10
ms	pmid: 22677674	3	20	6
ms	pmid: 22538555	3	40	29
