Class	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor
1552299_at	0.122907467	0.21994625	0.113611601	0.053201593	0.070937917	0.075089775	0.029727362	0.140703961	0.107226342	0.03250128	0.083370157	0.124193802	0.045647826	0.106907524	0.118093051	0.194773078	0.03387627	0.156801403	0.018936899	0.110416748	0.076365411	0.064526737	0.086232029	0.112652645	0.026207916	0.107864097	0.096244425	0.045316711	0.11169412	0.011772431	0.120658964	0.103402823	0.053690597	0.207768157	0.029378179	0.036944382	0.058722891	0.083688214	0.101492763	0.082415842	0.181336433	0.142008588	0.040987518	0.08750359	0.024422679	0.027270475	0	0.115530916	0.02225402	0.011162727	0.110576384	0.069978267	0.061629511	0.078277498	0.122264713	0.096721336	0.020790122	0.011570035	0.036265448	0.038972192	0.061951865	0.02225402	0.094495967	0.032156177	0.047958829	0.014747261	0.074770749	0.04960274	0.11169412	0.04365724
1552321_a_at	0.002578191	0.08813931	0.064526737	0.004646936	0.116491288	0.008870145	0	0.005778169	0.071896933	0.051568605	0.030424032	0.008008374	0.054830201	0	0.064526737	0.035073396	0.007793596	0.108502008	0.072855413	0.008657211	0.024063332	0.009083079	0.021889489	0.014357083	0.00336229	0.005881274	0.058722891	0.08018817	0.007572052	0.01667178	0.010752764	0.052548945	0.018187525	0.024960129	0.056130152	0	0.002289459	0.010339994	0	0.042324729	0.023522679	0.002017086	0.014357083	0.043324534	0.009083079	0.008010539	0.011974029	0.029378179	0	0.019681513	0	0.003618002	0	0.005386208	0	0.096085459	0	0.004561874	0.002939367	0.085596174	0.016291155	0.010339994	0.006008726	0	0.007133564	0	0.024781236	0.020421652	0.006909242	0.007355207
1552348_at	0.164453477	0.183729768	0.318626463	0.262754619	0.311205864	0.366147131	0.142988086	0.115850985	0.396004677	0.155146539	0.264712483	0.363681197	0.187850937	0.265104949	0.186474606	0.260026097	0.131936401	0.123550497	0.217419297	0.165122077	0.1338792	0.10977833	0.356859028	0.491060764	0.455662668	0.090681948	0.173863515	0.171163782	0.157132745	0.326624632	0.206704855	0.24168773	0.178270489	0.147899315	0.253842831	0.107226342	0.286772758	0.295888156	0.382837743	0.243946165	0.359768182	0.423914164	0.250778228	0.423914164	0.26825574	0.347785771	0.318626463	0.283501238	0.352057785	0.267071903	0.423914164	0.423332989	0.291308284	0.379234552	0.368131369	0.469454706	0.293384433	0.321276009	0.283908963	0.239438489	0.326624632	0.337069541	0.208478004	0.251542717	0.34873116	0.31686908	0.189229935	0.397617608	0.306469977	0.241312221
1552364_s_at	0.275017709	0.307756603	0.234595925	0.207768157	0.256539017	0.150528401	0.328422576	0.333406836	0.17589438	0.34262538	0.295888156	0.201414362	0.251542717	0.319507837	0.269046545	0.31686908	0.295052081	0.272222221	0.310773253	0.313375384	0.147243127	0.297145098	0.376173705	0.222120643	0.14987047	0.348258197	0.430968881	0.172512501	0.340301275	0.339375317	0.301783621	0.471477449	0.34637183	0.322162807	0.185787424	0.217779651	0.245456979	0.273019314	0.218500987	0.183729768	0.153824776	0.025496051	0.202469036	0.148555934	0.251160353	0.235709757	0.196514457	0.197212264	0.19616583	0.140052229	0.230898827	0.172175109	0.248111039	0.299669355	0.203173101	0.103084408	0.229426607	0.201765731	0.281062186	0.169817328	0.221394971	0.225397125	0.24168773	0.211325347	0.215620726	0.19931002	0.256153017	0.226493329	0.190957442	0.269046545
1552480_s_at	0.0706181	0.25731191	0.290480375	0.264320314	0.305614293	0.218861982	0.251542717	0.401409864	0.208122969	0.140703961	0.215620726	0.383873731	0.278232098	0.233484283	0.240561962	0.19407776	0.377700984	0.13290742	0.352535278	0.246592849	0.239438489	0.306898445	0.265104949	0.275017709	0.382837743	0.439396203	0.394399017	0.386999398	0.053527653	0.415867895	0.353492022	0.51287955	0.101492763	0.59782213	0.430968881	0.274217367	0.423332989	0.357342392	0.259249181	0.305614293	0.546243668	0.248871744	0.297145098	0.31686908	0.405794591	0.345901638	0.260026097	0.292137623	0.258473396	0.248871744	0.285543293	0.344026238	0.20599696	0.237944022	0.309909254	0.419292778	0.27782914	0.350628704	0.320833266	0.273019314	0.301359981	0.313810587	0.356859028	0.380774468	0.341694146	0.211682171	0.255381823	0.250014812	0.257698804	0.340765059
1552509_a_at	0.145277098	0.154815927	0.14987047	0.152834669	0.202820972	0.119054809	0.175555542	0.090681948	0.086549938	0.049930885	0.114890933	0.047134772	0.215620726	0.127414584	0.113931358	0.061468218	0.038297705	0.112972245	0.174878284	0.128382251	0.140703961	0.080506504	0.188884929	0.137449071	0.042991553	0.169481069	0.031637941	0.129996583	0.174201623	0.16478771	0.214185625	0.207768157	0.172512501	0.26197356	0.071896955	0.068377383	0.159787789	0.114890933	0.128704965	0.159123287	0.081779502	0.171500757	0.076684199	0.176572531	0.101174511	0.101492763	0.120338008	0.101811036	0.205643311	0.158459276	0.115850985	0.142988086	0.112333089	0.154815927	0.097675279	0.112013578	0.027975531	0.077002943	0.12162222	0.065490626	0.133231267	0.102447666	0.069017969	0.024422679	0.044985339	0.04729972	0.144949794	0.112013578	0.124837384	0.194773078
1552665_at	0.228324905	0.364173144	0.192689225	0.111374706	0.325728536	0.077958919	0.337069541	0.438178778	0.188540101	0.236081526	0.200010717	0.129027754	0.16245082	0.221757695	0.124193802	0.421018332	0.229794323	0.28309387	0.207059085	0.353971273	0.200361356	0.242439508	0.268650979	0.128382251	0.130966127	0.274617374	0.177590847	0.143968493	0.151186764	0.236825779	0.099265523	0.096085459	0.260415018	0.339375317	0.122264713	0.213827372	0.129673555	0.147899315	0.107864097	0.179972246	0.27622062	0.188540101	0.207059085	0.124515556	0.221032456	0.167466372	0.096721336	0.157132745	0.100219913	0.130966127	0.250396401	0.15547727	0.147243127	0.187162444	0.102766022	0.160785481	0.125159279	0.233484283	0.105632611	0.207059085	0.171500757	0.184757873	0.167801812	0.161451235	0.205643311	0.152175173	0.165456578	0.203173101	0.185444087	0.13614969
1552726_at	0.097993284	0.028151318	0.036095418	0.03575515	0.049274385	0.020790122	0.116811529	0.061307043	0.057265587	0.034561027	0.021524014	0.01396445	0.070298225	0.097039305	0.20599696	0.057589673	0.200361356	0.120338008	0.010132123	0.081461295	0.043490887	0.004602287	0.038972192	0.069338143	0.054830201	0.078596033	0.092588879	0.08750359	0.098947436	0.224667445	0.126125395	0.008868281	0.063561954	0.038635124	0.09862937	0.003866903	0.093224548	0.074611202	0.116491288	0.014357083	0.08575514	0.045316711	0.059046358	0.09640339	0.032845736	0.037790857	0.136799201	0.108502008	0.112013578	0.013175303	0.036605109	0.009924251	0.008227483	0.064044446	0.021157566	0.071257658	0.058722891	0.01667323	0.083688214	0.101811036	0.003866903	0.13777414	0.040652443	0.040652443	0.021889489	0.089092828	0.065169424	0.010339994	0.014552172	0.062918246
1552875_a_at	0.029378179	0	0.08018817	0.027623326	0.125159279	0.130319685	0.081143059	0.072855413	0	0.025496051	0.052222349	0.108183034	0.084960259	0.060984455	0.064205244	0.088457152	0.076046571	0.038972192	0.071257658	0.063240156	0.032156345	0.012577288	0.056454752	0.210968718	0.150857523	0.157795772	0.04729972	0.133555189	0.054179262	0.010339994	0.050258826	0.033189245	0.081143059	0.007789084	0.115210898	0.077002943	0.084324278	0.050422698	0.010752764	0.017053856	0.124515556	0.010546379	0.119696289	0.04132228	0.172850043	0.10977833	0.083052076	0.027799428	0.137124091	0.015522444	0.083370157	0.024422679	0.040987518	0.020973844	0.204936579	0.094813839	0.095449626	0.055805396	0.032845736	0.088457152	0.114251167	0.021157566	0.055155426	0.011570035	0.095449626	0.076684199	0.046639681	0.078277498	0.057751682	0.053201593
1552908_at	0.049930885	0.118734166	0.265890807	0.091317587	0.069978267	0.205289841	0.094972782	0.090046309	0.145277098	0.124193802	0.042991553	0.183387384	0.172850043	0.09354239	0.095767535	0.066453665	0.277426511	0.015326869	0.022980053	0.039981335	0.380774468	0.053527653	0.160452783	0.30861643	0.183045164	0.023883253	0.176233381	0.077002943	0.137449071	0.466778785	0.171500757	0.31511876	0.358310878	0.143805042	0.105632611	0.097993284	0.059046358	0.174539879	0.075727694	0.142988086	0.211325347	0.118413582	0.105951279	0.039477102	0.037621785	0.093860239	0.141029969	0.112972245	0.102766022	0.072855413	0.070937917	0.043989666	0.142008588	0.009714799	0.122907467	0.061951865	0.044321824	0.04960274	0.138749897	0.032156345	0.084006257	0.08750359	0.107864097	0.092588879	0.11457102	0.066132747	0.069338143	0.167801812	0.09862937	0.117772587
1552914_a_at	0.008868281	0	0	0.016482193	0.011162727	0.099901766	0.045647826	0.01667323	0.013571184	0	0.009924251	0.021157566	0.006461308	0.026562786	0.094019175	0.142334983	0.101492763	0.029552771	0.008655924	0	0.007574401	0.029727362	0.039981335	0.060661752	0.103084408	0.011772431	0.006879824	0.077640302	0.021157566	0	0.079869814	0.013175303	0.037283272	0.070298225	0.025496051	0.035244044	0.006236002	0.018562824	0.099265523	0.07157734	0.011365088	0.032845736	0.107226342	0.036944382	0.017810958	0.084006257	0.064526737	0.050258826	0.027975531	0.023703175	0.009294214	0.105313972	0.018936899	0.090999767	0.024601959	0.03250128	0.068697713	0.089092828	0.040987518	0.03111852	0.027799428	0.07157734	0.054504812	0.048945822	0.029727362	0.019309781	0.009505347	0.055155426	0.033704743	0.033533219
1553043_a_at	0.325728536	0.357826322	0.327522635	0.378722638	0.319066912	0.485329181	0.34873116	0.253075033	0.446176082	0.29672572	0.222847193	0.493970454	0.449306428	0.256539017	0.028853241	0.410794377	0.174539879	0.228691906	0.312940627	0.20599696	0.226127699	0.272620618	0.388572335	0.498392135	0.432159483	0.205643311	0.305614293	0.528191984	0.157795772	0.232744396	0.366147131	0.209544256	0.054179262	0.081779502	0.521636009	0.414733917	0.422173679	0.501379311	0.35879606	0.479014635	0.533220053	0.433953583	0.386476606	0.44555372	0.367137969	0.363681197	0.36269924	0.433354467	0.439396203	0.371127218	0.340301275	0.418147296	0.427422702	0.471477449	0.40634656	0.520022273	0.343558759	0.233114228	0.449306428	0.453104585	0.417576015	0.378211468	0.419866979	0.313375384	0.292968482	0.434553832	0.48961705	0.499135941	0.355412513	0.414733917
1553196_a_at	0.091635406	0.046309307	0.032845736	0.20599696	0.101174511	0.015907578	0.112652645	0.088457152	0.207413524	0.179972246	0.028678065	0.108502008	0.085278228	0.051568605	0.010339994	0.04960274	0.073494084	0.131936401	0.171163782	0.036435276	0.002547221	0.113611601	0.116171107	0.060015973	0.035925385	0.063240156	0.029203299	0.215620726	0.069658242	0.052548945	0.237571031	0.126125395	0.084324278	0.291722775	0.097357281	0.108502008	0.080824792	0.03181091	0.004086523	0.09640339	0.077162296	0.13842456	0.029552771	0.00201183	0.016291155	0.009713167	0.055155426	0.017432632	0.117452174	0.037283272	0.008227483	0.006687599	0.007793596	0.026207916	0.01277735	0.073494084	0.04365724	0.061307043	0.025852343	0.094813839	0.034902748	0.04132228	0.060177449	0.062596224	0.004359045	0.024063332	0.091635406	0.078914531	0.051241454	0.035584919
