                         	P-value
211644_x_at              	5.8905e-14
200983_x_at              	7.3107e-14
216576_x_at              	1.3657e-13
237515_at                	3.0975e-13
201792_at                	3.6941e-13
210746_s_at              	6.9831e-13
205837_s_at              	1.8562e-12
232027_at                	1.9006e-12
211821_x_at              	2.1409e-12
228376_at                	2.4e-12   
234764_x_at              	2.7294e-12
202286_s_at              	3.7812e-12
211820_x_at              	4.2157e-12
226726_at                	5.9375e-12
201743_at                	6.2878e-12
200858_s_at              	6.3812e-12
225238_at                	7.99e-12  
207802_at                	1.7504e-11
228766_at                	2.0473e-11
205838_at                	2.5504e-11
212078_s_at              	2.8836e-11
201131_s_at              	3.713e-11 
226134_s_at              	3.7673e-11
209555_s_at              	3.8388e-11
210244_at                	3.9509e-11
206515_at                	4.1532e-11
211071_s_at              	4.4769e-11
212145_at                	4.7509e-11
203757_s_at              	5.7478e-11
211657_at                	6.2846e-11
212531_at                	6.6619e-11
230894_s_at              	7.8319e-11
205040_at                	8.8615e-11
213624_at                	8.9819e-11
235086_at                	9.1739e-11
201061_s_at              	1.0108e-10
211560_s_at              	1.0206e-10
207384_at                	1.0896e-10
206676_at                	1.0975e-10
209211_at                	1.2877e-10
231771_at                	1.4057e-10
205627_at                	1.5361e-10
243579_at                	1.7686e-10
205896_at                	2.0735e-10
206177_s_at              	2.0912e-10
217022_s_at              	2.2426e-10
226496_at                	2.2986e-10
207269_at                	2.5543e-10
200984_s_at              	2.811e-10 
1559520_at               	2.8787e-10
218724_s_at              	3.0255e-10
224480_s_at              	3.0998e-10
208168_s_at              	3.3176e-10
201060_x_at              	3.3196e-10
211643_x_at              	3.528e-10 
225237_s_at              	4.9339e-10
241929_at                	4.983e-10 
205786_s_at              	5.0555e-10
203936_s_at              	5.7446e-10
201110_s_at              	6.2015e-10
205041_s_at              	6.6571e-10
201977_s_at              	7.2971e-10
218454_at                	7.5591e-10
217889_s_at              	7.5939e-10
209395_at                	9.5998e-10
206488_s_at              	1.0122e-09
213666_at                	1.026e-09 
201037_at                	1.0454e-09
215049_x_at              	1.0799e-09
221651_x_at              	1.0978e-09
34726_at                 	1.1536e-09
224795_x_at              	1.3514e-09
219025_at                	1.3801e-09
225240_s_at              	1.6157e-09
200675_at                	1.6444e-09
221671_x_at              	1.7578e-09
206674_at                	1.8941e-09
205174_s_at              	2.1332e-09
205936_s_at              	2.7861e-09
214464_at                	2.8462e-09
1565034_s_at             	3.2116e-09
201015_s_at              	3.2695e-09
205557_at                	3.515e-09 
203765_at                	3.8353e-09
205863_at                	3.9295e-09
225172_at                	4.3393e-09
200772_x_at              	4.4709e-09
211883_x_at              	4.7589e-09
212768_s_at              	4.8494e-09
213530_at                	4.9619e-09
204174_at                	5.1111e-09
218978_s_at              	5.815e-09 
202018_s_at              	6.0107e-09
224707_at                	6.8152e-09
217223_s_at              	7.198e-09 
204045_at                	7.5587e-09
201343_at                	7.7935e-09
221691_x_at              	8.2521e-09
209498_at                	9.6386e-09
243010_at                	1.0104e-08
