DiseaseName	PMID	Line index	The # of total tokens in sentence	Start position of tagged disease in sentence
als	pmid: 21964254	3	12	2
als	pmid: 22874379	3	20	13
als	pmid: 23497730	2	17	12
als	pmid: 23497730	4	30	18
als	pmid: 22219285	3	18	9
als	pmid: 22595972	3	32	5
als	pmid: 23164079	3	43	40
als	pmid: 23164079	4	43	40
als	pmid: 21810174	3	27	24
als	pmid: 23235148	2	13	7
als	pmid: 23235148	3	23	20
als	pmid: 22971635	3	41	22
als	pmid: 23545117	2	21	8
als	pmid: 23545117	3	23	19
als	pmid: 23570271	3	18	15
als	pmid: 23027932	5	34	31
als	pmid: 23777095	3	19	14
als	pmid: 22351600	7	42	16
als	pmid: 22875086	3	43	23
als	pmid: 22875087	5	32	20
als	pmid: 21941597	3	17	5
als	pmid: 23085936	2	16	6
als	pmid: 23085936	3	21	7
als	pmid: 22995823	2	18	15
als	pmid: 22052354	4	44	16
als	pmid: 23499957	3	35	32
als	pmid: 22469346	5	37	34
als	pmid: 22482452	2	9	6
als	pmid: 22482456	3	19	8
als	pmid: 23824486	7	39	27
als	pmid: 23824486	8	31	22
als	pmid: 23117224	2	20	6
als	pmid: 22572540	3	34	19
als	pmid: 22101322	3	36	33
als	pmid: 22791740	3	26	11
als	pmid: 20675015	2	11	7
als	pmid: 20675015	3	24	17
als	pmid: 22337587	4	44	23
als	pmid: 23314020	3	18	12
als	pmid: 22255354	3	30	13
als	pmid: 22796962	2	19	6
als	pmid: 22796962	3	19	16
als	pmid: 21796424	13	46	30
als	pmid: 22258555	3	33	29
als	pmid: 22402017	2	11	7
als	pmid: 22820142	3	17	10
als	pmid: 22711008	3	44	41
als	pmid: 22591278	3	16	12
als	pmid: 21777407	3	31	8
als	pmid: 22264801	3	28	11
als	pmid: 22028183	7	39	36
als	pmid: 23848967	2	21	10
als	pmid: 23848967	3	15	12
als	pmid: 22070610	8	50	15
als	pmid: 23390184	3	30	21
als	pmid: 23046668	2	16	10
als	pmid: 23046668	3	20	17
als	pmid: 21572310	3	42	24
als	pmid: 21572310	4	22	5
als	pmid: 23621426	3	22	10
als	pmid: 22499346	3	42	20
als	pmid: 21986681	3	13	5
als	pmid: 21963313	3	22	19
als	pmid: 21989221	3	31	7
als	pmid: 23844338	2	18	12
als	pmid: 23844338	6	25	3
als	pmid: 23844338	7	27	12
als	pmid: 23844338	14	26	24
als	pmid: 23844337	3	16	4
als	pmid: 23138004	3	29	26
als	pmid: 22533463	2	12	9
als	pmid: 22533462	4	45	26
als	pmid: 22075069	5	29	7
als	pmid: 22075069	11	33	15
als	pmid: 22075069	13	32	20
als	pmid: 23062601	2	19	15
als	pmid: 23062601	3	19	16
als	pmid: 23062600	2	10	7
als	pmid: 23062600	3	30	27
als	pmid: 22594565	3	11	8
als	pmid: 22993064	4	22	5
als	pmid: 22323210	4	20	17
als	pmid: 22819005	3	19	11
als	pmid: 22819005	5	34	27
als	pmid: 22955124	3	24	14
als	pmid: 23143660	3	12	9
als	pmid: 21998727	3	21	18
als	pmid: 22721255	2	15	6
als	pmid: 22673113	3	28	19
als	pmid: 23575853	9	22	8
als	pmid: 21947534	3	49	39
als	pmid: 21934272	2	11	8
als	pmid: 23063648	2	14	8
als	pmid: 23063648	3	30	27
als	pmid: 23248642	7	32	25
als	pmid: 22431338	3	32	7
als	pmid: 22235134	3	27	21
als	pmid: 22670877	2	14	6
als	pmid: 22670877	3	25	11
als	pmid: 22027050	3	35	32
