GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
25978	pmid: 22366797	2	12	9
25978	pmid: 22366797	4	10	9
25978	pmid: 22366797	5	16	3
4280	pmid: 22366797	5	16	8
25978	pmid: 22366797	6	23	3
4280	pmid: 22366797	6	23	5
25978	pmid: 22366797	7	25	24
25978	pmid: 22366797	8	27	5
25978	pmid: 22366797	9	29	19
4280	pmid: 22366797	9	29	13
25978	pmid: 22366797	10	23	12
8239	pmid: 22361583	4	22	5
8239	pmid: 22361583	5	23	3
8239	pmid: 22361583	6	19	11
4280	pmid: 22361581	7	27	22
1057	pmid: 22359591	7	38	25
1057	pmid: 22357511	4	27	19
65018	pmid: 22354088	2	10	5
65018	pmid: 22354088	4	17	4
65018	pmid: 22354088	5	37	9
65018	pmid: 22354088	6	27	26
65018	pmid: 22354088	7	15	4
65018	pmid: 22354088	8	27	16
65018	pmid: 22354088	9	19	10
5978	pmid: 22353987	8	20	13
2012	pmid: 22344625	13	5	2
1057	pmid: 22341818	2	13	2
1057	pmid: 22341818	3	12	3
1057	pmid: 22341818	10	31	19
1057	pmid: 22341818	13	13	3
1057	pmid: 22341818	15	25	2
1057	pmid: 22341818	16	14	13
55737	pmid: 22336192	2	11	3
55737	pmid: 22336192	4	35	14
55997	pmid: 22336192	5	27	20
55737	pmid: 22336192	7	24	11
10541	pmid: 22334107	7	25	15
8741	pmid: 22334107	7	25	15
1990	pmid: 22324823	5	20	16
2009	pmid: 22324823	5	20	18
1057	pmid: 22323745	3	31	28
1057	pmid: 22323745	4	62	42
120892	pmid: 22323743	2	13	2
120892	pmid: 22323743	3	38	29
6749	pmid: 22323743	3	38	5
120892	pmid: 22323743	4	18	16
120892	pmid: 22323743	11	22	18
120892	pmid: 22323743	12	17	4
120892	pmid: 22323743	13	22	10
120892	pmid: 22315971	2	28	14
120892	pmid: 22315971	3	22	4
120892	pmid: 22315971	6	20	14
120892	pmid: 22315971	7	17	4
120892	pmid: 22315971	8	17	4
120892	pmid: 22315971	9	21	12
120892	pmid: 22315971	10	31	5
120892	pmid: 22315971	12	24	4
120892	pmid: 22315971	13	30	13
120892	pmid: 22315971	14	22	8
1057	pmid: 22315428	10	30	21
6749	pmid: 22314796	8	33	15
2012	pmid: 22314796	12	5	2
225	pmid: 22303740	3	22	21
5978	pmid: 22287946	3	42	3
55024	pmid: 22277522	3	19	8
1057	pmid: 22277493	7	18	12
79065	pmid: 22275429	2	17	3
8408	pmid: 22275429	2	17	6
79065	pmid: 22275429	10	33	14
8408	pmid: 22275429	10	33	11
1057	pmid: 22275077	8	20	14
1057	pmid: 22275077	9	25	7
2012	pmid: 22275077	14	5	2
64127	pmid: 22272321	5	32	30
64127	pmid: 22272321	8	32	21
1057	pmid: 22272321	8	32	4
4280	pmid: 22272321	8	32	23
64127	pmid: 22272321	9	14	4
64127	pmid: 22272321	11	36	4
1057	pmid: 22271527	2	17	13
1057	pmid: 22271527	5	30	25
1057	pmid: 22271527	7	32	21
1057	pmid: 22269801	5	27	24
1057	pmid: 22269801	6	21	20
1057	pmid: 22269801	9	25	24
23400	pmid: 22265822	2	17	7
23400	pmid: 22265822	5	18	7
23400	pmid: 22265822	6	13	6
23400	pmid: 22265822	9	22	7
23400	pmid: 22265822	10	64	44
9215	pmid: 22255666	7	26	7
