GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
2006	pmid: 23242012	7	22	2
2010	pmid: 23242012	7	22	4
1057	pmid: 21052675	5	26	23
3684	pmid: 22872097	5	24	9
1057	pmid: 22872097	8	31	23
1057	pmid: 22872097	13	26	14
55364	pmid: 21958918	3	27	5
1319	pmid: 21958918	6	25	16
2011	pmid: 21958918	11	8	3
2012	pmid: 23134495	6	6	2
4280	pmid: 22116823	2	11	8
1057	pmid: 22116823	4	27	8
4280	pmid: 22116823	9	16	8
4280	pmid: 22116823	11	36	8
9215	pmid: 22116823	12	17	10
2012	pmid: 22334391	13	6	3
3575	pmid: 21161391	2	11	4
3575	pmid: 21161391	11	42	6
3575	pmid: 21161391	12	16	8
2011	pmid: 22006815	12	6	3
325	pmid: 23740953	6	44	38
325	pmid: 23740953	7	10	8
325	pmid: 23740953	8	36	14
4280	pmid: 23740953	8	36	16
6367	pmid: 23740953	8	36	30
325	pmid: 23740953	12	33	20
1057	pmid: 22396755	4	22	8
1057	pmid: 22396755	7	39	28
1057	pmid: 22396755	13	24	6
55364	pmid: 22110978	5	24	11
79071	pmid: 22188035	5	50	6
2178	pmid: 22188035	5	50	6
2011	pmid: 22188035	8	6	2
1934	pmid: 21918983	2	14	6
1934	pmid: 21918983	3	21	13
4280	pmid: 21918983	11	19	13
2011	pmid: 21918983	14	5	3
55364	pmid: 22079561	3	62	49
1057	pmid: 22079561	6	23	10
1319	pmid: 22079561	7	34	28
6749	pmid: 22079561	10	22	18
2011	pmid: 22079561	13	5	3
2011	pmid: 21964471	12	4	3
2012	pmid: 23255412	7	5	3
2012	pmid: 22572012	9	7	3
55364	pmid: 21862036	3	13	10
2011	pmid: 21862036	14	5	3
1057	pmid: 22330938	5	56	46
2012	pmid: 22330938	9	9	3
55364	pmid: 21649611	5	27	4
2011	pmid: 21649611	14	7	2
2011	pmid: 21757039	14	5	3
2012	pmid: 22497991	16	5	3
1057	pmid: 22001684	4	34	31
2011	pmid: 22001684	6	5	3
1057	pmid: 22640902	10	9	2
