DiseaseName	PMID	Line index	The # of total tokens in sentence	Start position of tagged disease in sentence
pa445218	pmid: 22378346	5	41	23
pa445218	pmid: 22378302	2	21	10
pa445218	pmid: 22378302	4	11	10
pa445218	pmid: 22378302	5	18	17
pa445218	pmid: 22378302	7	19	18
pa445218	pmid: 22378302	8	15	12
pa445218	pmid: 22375400	2	11	10
pa445218	pmid: 22375400	3	16	10
pa445218	pmid: 22375400	4	43	2
pa445218	pmid: 22375400	6	40	19
pa445218	pmid: 22375400	13	23	6
pa445218	pmid: 22374509	6	17	16
pa445218	pmid: 22374460	2	16	15
pa445218	pmid: 22374460	3	10	6
pa445218	pmid: 22374460	4	19	2
pa445218	pmid: 22374460	5	35	23
pa445218	pmid: 22374460	12	27	15
pa445218	pmid: 22374239	2	20	6
pa445218	pmid: 22374239	3	33	19
pa445218	pmid: 22374239	6	9	2
pa445218	pmid: 22374239	10	24	22
pa445218	pmid: 22374239	11	39	34
pa445218	pmid: 22374239	12	24	6
pa445218	pmid: 22373539	7	16	7
pa445218	pmid: 22373539	9	22	9
pa445218	pmid: 22373528	2	12	11
pa445218	pmid: 22373528	6	16	15
pa445218	pmid: 22372808	2	11	7
pa445218	pmid: 22372505	2	8	7
pa445218	pmid: 22372505	5	37	23
pa445218	pmid: 22372505	7	20	19
pa445218	pmid: 22372504	2	10	9
pa445218	pmid: 22372504	5	27	25
pa445218	pmid: 22372504	6	21	20
pa445218	pmid: 22372504	7	13	11
pa445218	pmid: 22372504	8	22	21
pa445218	pmid: 22372504	9	59	58
pa445218	pmid: 22372503	2	8	7
pa445218	pmid: 22372503	3	24	13
pa445218	pmid: 22372502	2	7	6
pa445218	pmid: 22372502	10	25	24
pa445218	pmid: 22372501	2	11	9
pa445218	pmid: 22372501	3	23	22
pa445218	pmid: 22372501	4	40	32
pa445218	pmid: 22372501	5	27	26
pa445218	pmid: 22372501	6	20	19
pa445218	pmid: 22372500	2	11	10
pa445218	pmid: 22372500	5	24	6
pa445218	pmid: 22372500	9	18	13
pa445218	pmid: 22372500	10	17	10
pa445218	pmid: 22372499	2	5	3
pa445218	pmid: 22372499	3	18	4
pa445218	pmid: 22372499	4	23	21
pa445218	pmid: 22372498	2	12	4
pa445218	pmid: 22372498	6	17	9
pa445218	pmid: 22372497	2	10	5
pa445218	pmid: 22372496	2	5	4
pa445218	pmid: 22371645	2	13	8
pa445218	pmid: 22371645	3	22	9
pa445218	pmid: 22371645	4	26	14
pa445218	pmid: 22371645	7	12	3
pa445218	pmid: 22371633	2	10	4
pa445218	pmid: 22371633	3	29	15
pa445218	pmid: 22371378	2	15	14
pa445218	pmid: 22371378	3	23	21
pa445218	pmid: 22371378	5	16	2
pa445218	pmid: 22371378	6	34	33
pa445218	pmid: 22371378	8	27	20
pa445218	pmid: 22371378	10	27	8
pa445218	pmid: 22369743	2	15	14
pa445218	pmid: 22369743	3	13	7
pa445218	pmid: 22369743	5	19	14
pa445218	pmid: 22369743	15	29	24
pa445218	pmid: 22368299	2	11	9
pa445218	pmid: 22368299	3	8	4
pa445218	pmid: 22368299	4	36	35
pa445218	pmid: 22367402	9	17	14
pa445218	pmid: 22367292	2	22	18
