GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
4280	pmid: 22378346	6	41	26
331	pmid: 22378302	5	18	8
1057	pmid: 22378302	8	15	14
331	pmid: 22378302	10	25	10
331	pmid: 22378302	11	28	11
1057	pmid: 22378302	14	22	14
1057	pmid: 22375400	4	43	4
4280	pmid: 22375400	7	16	14
2012	pmid: 22373539	3	63	44
2012	pmid: 22373539	4	31	8
1057	pmid: 22372504	5	27	15
1057	pmid: 22372504	9	59	53
94025	pmid: 22372499	6	16	11
100129528	pmid: 22372499	7	27	16
1057	pmid: 22372498	3	27	22
1057	pmid: 22372498	5	32	26
1524	pmid: 22372498	7	27	4
1057	pmid: 22371645	4	26	16
1057	pmid: 22371645	7	12	5
2010	pmid: 22371633	8	38	7
2012	pmid: 22371378	15	5	2
1820	pmid: 22369743	7	13	5
1029	pmid: 22368299	5	17	16
672	pmid: 22368299	6	38	32
675	pmid: 22368299	6	38	34
1029	pmid: 22368299	7	12	3
1029	pmid: 22368299	8	28	2
79728	pmid: 22368299	9	14	12
672	pmid: 22368299	10	10	7
1029	pmid: 22368299	11	11	10
1029	pmid: 22368299	12	16	15
1057	pmid: 22367292	2	22	20
1057	pmid: 22367292	3	53	37
1057	pmid: 22367292	4	21	5
1057	pmid: 22367292	6	11	9
1956	pmid: 22367239	5	39	4
2003	pmid: 22365997	4	32	29
2010	pmid: 22365494	2	23	16
2010	pmid: 22365494	5	24	17
1057	pmid: 22364882	3	32	30
1057	pmid: 22363741	8	57	17
1057	pmid: 22363658	2	15	4
1800	pmid: 22363658	6	28	11
1800	pmid: 22363658	8	24	4
1800	pmid: 22363658	10	18	7
1800	pmid: 22363658	11	29	27
1800	pmid: 22363658	12	21	6
1800	pmid: 22363658	13	20	9
3314	pmid: 22363124	4	28	4
2005	pmid: 22360763	8	38	35
5687	pmid: 22359542	2	8	4
5687	pmid: 22359542	5	25	4
4316	pmid: 22359542	11	31	13
1057	pmid: 22359319	4	25	13
2012	pmid: 22359319	13	5	2
1057	pmid: 22357542	4	31	13
9215	pmid: 22357542	7	7	4
2778	pmid: 22355676	2	14	5
2778	pmid: 22355676	6	35	34
2778	pmid: 22355676	7	27	5
2778	pmid: 22355676	8	25	5
1057	pmid: 22354549	4	31	22
2009	pmid: 22353527	6	26	21
1057	pmid: 22353526	2	12	6
1057	pmid: 22353526	4	15	12
1057	pmid: 22353526	5	29	21
1057	pmid: 22353526	6	48	26
1057	pmid: 22353526	7	26	9
1991	pmid: 22353525	4	18	10
4838	pmid: 22353525	19	13	6
11335	pmid: 22351932	5	21	5
11335	pmid: 22351932	8	37	29
2005	pmid: 22351874	5	19	10
1057	pmid: 22350780	2	12	11
6400	pmid: 22350780	3	18	2
6400	pmid: 22350780	5	11	6
6400	pmid: 22350780	6	19	2
6400	pmid: 22350780	8	21	12
6400	pmid: 22350780	9	26	2
6400	pmid: 22350780	12	20	3
6400	pmid: 22350780	14	23	2
6400	pmid: 22350780	16	17	8
1999	pmid: 22350605	7	25	6
2010	pmid: 22350605	7	25	8
968	pmid: 22350599	6	28	27
1983	pmid: 22350300	4	28	26
4280	pmid: 22348348	7	47	19
2012	pmid: 22348348	11	5	2
1057	pmid: 22348286	2	8	6
1057	pmid: 22348286	5	28	14
1057	pmid: 22348286	6	38	21
1057	pmid: 22348286	8	22	21
1057	pmid: 22348286	9	18	8
1057	pmid: 22348286	10	27	12
1057	pmid: 22348286	11	28	26
4280	pmid: 22348173	2	11	6
1057	pmid: 22348173	3	31	30
5000	pmid: 22348173	3	31	10
1057	pmid: 22348173	9	21	14
1743	pmid: 22348173	12	20	14
4280	pmid: 22348173	12	20	7
1057	pmid: 22348173	13	14	9
4280	pmid: 22348081	2	16	11
9215	pmid: 22348081	3	30	20
6678	pmid: 22348081	5	32	16
1057	pmid: 22348081	7	27	12
4280	pmid: 22348081	8	39	22
4280	pmid: 22348081	9	22	5
6678	pmid: 22348081	12	35	14
6774	pmid: 22348037	2	18	12
1057	pmid: 22348037	3	22	14
6774	pmid: 22348037	4	15	2
3718	pmid: 22348037	5	38	27
6774	pmid: 22348037	5	38	11
1057	pmid: 22348037	8	43	31
3718	pmid: 22348037	8	43	13
6774	pmid: 22348037	8	43	16
1057	pmid: 22348037	9	15	12
6774	pmid: 22348037	9	15	4
1057	pmid: 22348037	10	24	16
6774	pmid: 22348037	10	24	7
6774	pmid: 22348037	11	26	24
1057	pmid: 22347323	4	25	19
6367	pmid: 22347323	8	8	5
6363	pmid: 22347323	13	17	6
6367	pmid: 22347323	13	17	8
4280	pmid: 22344880	3	43	18
4280	pmid: 22344880	4	15	11
4280	pmid: 22344880	7	25	12
4280	pmid: 22344880	13	30	18
2012	pmid: 22344880	14	8	3
1057	pmid: 22344632	5	52	11
1057	pmid: 22344632	6	45	44
1057	pmid: 22344632	7	38	34
1057	pmid: 22344632	8	28	14
1057	pmid: 22344632	9	28	22
2012	pmid: 22344632	10	5	2
1057	pmid: 22344252	4	53	10
6774	pmid: 22342309	2	10	5
6774	pmid: 22342309	6	31	11
6774	pmid: 22342309	7	16	6
388112	pmid: 22340650	3	18	12
100133941	pmid: 22340650	4	19	16
960	pmid: 22340650	4	19	18
1057	pmid: 22340650	4	19	8
1057	pmid: 22340650	6	8	2
100133941	pmid: 22340650	7	22	16
960	pmid: 22340650	7	22	18
388112	pmid: 22340650	9	22	20
1057	pmid: 22340650	12	10	8
1057	pmid: 22340650	13	16	9
100133941	pmid: 22340650	15	24	22
388112	pmid: 22340650	16	11	4
388112	pmid: 22340650	19	21	7
1057	pmid: 22340649	3	30	14
7291	pmid: 22340649	7	35	33
2009	pmid: 22340105	4	25	22
55364	pmid: 22339744	2	16	3
55364	pmid: 22339744	4	18	6
55364	pmid: 22339744	7	25	3
55364	pmid: 22339744	10	21	2
55364	pmid: 22339744	11	23	3
1800	pmid: 22338014	12	22	17
1000	pmid: 22338014	12	22	21
100129528	pmid: 22336159	8	16	9
9215	pmid: 22336159	9	37	8
100129528	pmid: 22336159	9	37	33
4583	pmid: 22336159	11	15	5
4583	pmid: 22336159	14	20	2
1057	pmid: 22335903	4	24	7
1490	pmid: 22335903	4	24	4
