Name	GeneName	PMID	Sentence index	The # of total tokens	Location of token	which abbreviation
VIM	7431	22377809	2	12	7	0
VIM	7431	22377809	6	11	7	0
VIM	7431	22377809	7	10	8	0
DBS	4036	22377809	8	35	25	1
VIM	7431	22377809	9	14	2	0
VIM	7431	22377809	10	35	34	0
DBS	4036	22377809	13	27	4	1
DBS	4036	22376158	4	26	6	1
A	1984	22376158	7	18	4	1
A	1984	22376158	11	24	1	1
DBS	4036	22376158	14	19	19	1
MSA	7173	22371705	5	32	9	1
MSA	7173	22371705	6	37	3	1
MSA	7173	22371705	7	36	30	1
PRD	5548	22371611	4	24	21	2
PRD	5548	22371611	9	59	22	2
P	7776	22371611	9	59	57	1
PRD	5548	22371611	11	46	15	2
PRD	5548	22371611	12	23	14	2
B12	4709	22367474	2	11	4	1
B12	7126	22367474	2	11	4	1
B12	4709	22367474	3	33	29	1
B12	7126	22367474	3	33	29	1
B12	4709	22367474	6	30	26	1
B12	7126	22367474	6	30	26	1
A	1984	22367474	9	17	1	1
B12	4709	22367474	10	18	14	1
B12	7126	22367474	10	18	14	1
B12	4709	22367474	11	21	14	1
B12	7126	22367474	11	21	14	1
B12	4709	22367474	12	13	10	1
B12	7126	22367474	12	13	10	1
CHMP2B	25978	22366797	2	12	9	0
CHMP2B	25978	22366797	4	10	9	0
CHMP2B	25978	22366797	5	16	16	0
CHMP2B	25978	22366797	6	23	3	0
CHMP2B	25978	22366797	7	25	24	0
CHMP2B	25978	22366797	8	27	5	0
CHMP2B	25978	22366797	9	29	16	0
CHMP2B	25978	22366797	10	23	12	0
T	6862	22366274	8	13	2	0
USP9X	8239	22361583	4	22	5	0
USP9X	8239	22361583	5	23	3	0
USP9X	8239	22361583	6	19	2	0
HD	6532	22361581	4	18	11	1
HD	6532	22361581	7	27	21	1
DAT	6531	22359591	3	20	3	1
DAT	6531	22359591	5	41	14	1
DAT	6531	22359591	6	33	28	1
DAT	6531	22359591	7	56	4	1
DAT	6531	22359591	8	21	5	1
DAT	6531	22359591	9	36	5	1
AAV	17	22357511	6	20	9	1
DAT	6531	22354157	3	43	31	1
DAT	6531	22354157	4	20	11	1
DAT	6531	22354157	5	27	8	1
DAT	6531	22354157	8	23	2	1
DAT	6531	22354157	9	24	3	1
DAT	6531	22354157	10	32	10	1
PINK1	65018	22354088	2	10	5	0
PINK1	65018	22354088	4	17	4	0
PINK1	65018	22354088	5	37	9	0
E3	6043	22354088	5	37	20	1
PINK1	65018	22354088	6	27	26	0
MPP	10200	22354088	7	15	14	1
PINK1	65018	22354088	7	15	4	0
MPP	10200	22354088	8	27	5	1
PINK1	65018	22354088	8	27	2	0
MPP	10200	22354088	9	19	8	1
PINK1	65018	22354088	9	19	10	0
A	1984	22353987	2	14	1	1
A	1984	22351797	2	12	10	1
ALS	3483	22351797	11	13	2	1
ALS	6647	22351797	11	13	2	1
A	1984	22350538	4	19	1	1
A	1984	22342763	4	20	1	1
A	1984	22341818	5	22	5	1
DBS	4036	22341622	3	31	27	1
DBS	4036	22341622	4	20	13	1
DBS	4036	22341622	5	17	9	1
DBS	4036	22341622	10	24	23	1
AES	166	22341622	12	15	15	0
DBS	4036	22341622	15	17	12	1
A	1984	22336720	2	11	9	1
VPS35	55737	22336192	2	11	3	0
VPS35	55737	22336192	3	13	1	0
VPS35	55737	22336192	4	35	14	0
VPS35	55737	22336192	7	24	11	0
A	1984	22334107	7	26	2	1
ALS	3483	22333397	6	10	5	1
ALS	6647	22333397	6	10	5	1
ALS	3483	22333397	10	26	16	1
ALS	6647	22333397	10	26	16	1
ALS	3483	22333397	11	17	11	1
ALS	6647	22333397	11	17	11	1
ALS	3483	22333397	16	24	6	1
ALS	6647	22333397	16	24	6	1
A	1984	22333068	8	14	3	1
A	1984	22324823	5	21	3	1
A	1984	22324823	7	25	3	1
EP	8288	22324823	7	25	11	1
HIS	3034	22324823	13	19	14	1
EP	8288	22324823	15	12	11	1
PSP	140683	22323779	4	31	13	1
PSP	5723	22323779	4	31	13	1
PSP	5623	22323779	4	31	13	1
MSA	7173	22323779	4	31	15	1
PSP	140683	22323779	5	25	10	1
PSP	5723	22323779	5	25	10	1
PSP	5623	22323779	5	25	10	1
MSA	7173	22323779	5	25	14	1
PSP	140683	22323779	8	26	13	1
PSP	5723	22323779	8	26	13	1
PSP	5623	22323779	8	26	13	1
MSA	7173	22323779	8	26	11	1
PSP	140683	22323779	9	21	11	1
PSP	5723	22323779	9	21	11	1
PSP	5623	22323779	9	21	11	1
AC	427	22323779	9	21	4	1
MSA	7173	22323779	10	23	17	1
PSP	140683	22323779	11	23	16	1
PSP	5723	22323779	11	23	16	1
PSP	5623	22323779	11	23	16	1
MSA	7173	22323779	12	23	16	1
PSP	140683	22323779	13	27	16	1
PSP	5723	22323779	13	27	16	1
PSP	5623	22323779	13	27	16	1
MSA	7173	22323779	13	27	25	1
PSP	140683	22323779	14	22	6	1
PSP	5723	22323779	14	22	6	1
PSP	5623	22323779	14	22	6	1
AC	427	22323779	14	22	19	1
MSA	7173	22323779	14	22	8	1
PSP	140683	22323779	15	17	8	1
PSP	5723	22323779	15	17	8	1
PSP	5623	22323779	15	17	8	1
MSA	7173	22323779	15	17	10	1
LRRK2	120892	22323745	2	9	5	0
LRRK2	120892	22323743	2	13	2	0
LRRK2	120892	22323743	3	39	30	0
LRRK2	120892	22323743	4	19	17	0
A	1984	22323743	10	15	1	1
LRRK2	120892	22323743	11	22	6	0
LRRK2	120892	22323743	12	17	4	0
LRRK2	120892	22323743	13	23	11	0
A	1984	22321866	8	13	1	1
A	1984	22321866	9	15	1	1
A	1984	22321866	10	16	1	1
A	1984	22321864	2	19	6	1
LRRK2	120892	22315971	2	29	14	0
C	64663	22315971	2	29	18	1
LRRK2	120892	22315971	3	23	5	0
LRRK2	120892	22315971	4	10	10	0
LRRK2	120892	22315971	6	20	14	0
LRRK2	120892	22315971	7	17	4	0
C	64663	22315971	7	17	17	1
LRRK2	120892	22315971	8	17	4	0
LRRK2	120892	22315971	9	21	12	0
LRRK2	120892	22315971	10	32	6	0
ATPase	1769	22315971	10	32	27	1
C	64663	22315971	11	1	1	1
LRRK2	120892	22315971	12	24	4	0
LRRK2	120892	22315971	13	31	14	0
LRRK2	120892	22315971	14	23	9	0
A	1984	22314796	4	21	1	1
A	1984	22308089	8	57	13	1
B	10899	22308089	8	57	34	1
ABCD2	225	22303740	3	22	21	0
MS	4548	22303740	4	18	6	0
A	1984	22303740	5	20	1	1
P	7776	22298861	8	29	27	1
P	7776	22298861	9	27	25	1
MRS	8011	22295119	2	16	16	1
FOG	161882	22291041	5	26	16	1
A	1984	22291041	6	29	3	1
FOG	161882	22291041	10	26	10	1
FOG	161882	22291041	11	14	7	1
FOG	161882	22291041	12	27	7	1
FOG	161882	22291041	13	17	3	1
FOG	161882	22291041	14	27	13	1
A	1984	22287946	2	8	1	1
DAT	6531	22287946	7	51	28	1
GBA	2629	22282650	4	25	4	0
GBA	2629	22282650	5	15	13	0
GBA	2629	22282650	7	10	2	0
GBA	2629	22282650	8	40	11	0
GBA	2629	22282650	9	14	12	0
GBA	2629	22282650	10	41	17	0
GBA	2629	22282650	13	48	9	0
GD	5047	22282650	13	48	43	1
FOG	161882	22282641	4	22	6	1
GM	5506	22282641	7	12	6	1
FOG	161882	22282641	8	13	8	1
GM	5506	22282641	9	27	13	1
GM	5506	22282641	10	16	8	1
FOG	161882	22282641	12	19	7	1
GM	5506	22282641	12	19	11	1
GM	5506	22282641	13	9	1	1
FOG	161882	22282641	14	24	1	1
A	1984	22278219	2	11	8	1
COPE	11316	22278219	5	9	9	0
HD	6532	22278219	6	19	4	1
COPE	11316	22278219	8	11	11	0
HD	6532	22278219	9	21	4	1
HD	6532	22278219	11	27	27	1
A	1984	22277432	9	16	1	1
ULK1	8408	22275429	2	17	6	0
ULK1	8408	22275429	8	24	7	0
DFCP1	53349	22275429	8	24	9	1
ULK1	8408	22275429	10	33	11	0
A	1984	22275077	2	23	13	1
ECM	22915	22275077	7	37	18	1
ECM	22915	22275077	9	25	15	1
ECM	22915	22275077	12	23	23	1
CS	1431	22273734	7	12	6	2
A	1984	22273734	10	12	1	1
CS	1431	22273734	12	30	14	2
CS	1431	22273734	15	56	49	2
DBS	4036	22271259	4	26	7	1
DBS	4036	22271259	6	21	2	1
DBS	4036	22271259	8	42	1	1
DBS	4036	22271259	9	33	4	1
A	1984	22269801	2	12	1	1
A	1984	22268009	10	25	1	1
ATP13A2	23400	22265822	2	17	7	0
ATP	51761	22265822	3	7	7	1
ATP13A2	23400	22265822	5	18	7	0
ATP13A2	23400	22265822	6	13	6	0
ATP13A2	23400	22265822	7	18	18	0
ATP13A2	23400	22265822	9	22	7	0
ATP13A2	23400	22265822	10	64	30	0
A	1984	22262741	2	13	10	1
FOG	161882	22262741	4	18	9	1
FOG	161882	22262741	5	39	8	1
FOG	161882	22262741	6	18	5	1
FOG	161882	22262741	7	31	5	1
FOG	161882	22262741	8	12	12	1
FOG	161882	22262741	9	19	3	1
FOG	161882	22262741	10	16	4	1
A	1984	22258155	2	13	10	1
A	1984	22258155	6	58	3	1
PT	2147	22258155	9	21	13	1
PT	2147	22258155	10	42	33	1
A	1984	22258155	10	42	1	1
A	1984	22254350	2	13	11	1
A	1984	22254350	5	30	13	1
C	64663	22253756	10	11	11	1
DBS	4036	22251502	4	34	7	1
DBS	4036	22251502	5	16	16	1
DBS	4036	22251502	6	24	7	1
A	1984	22251502	7	8	1	1
DBS	4036	22251502	9	21	8	1
DBS	4036	22251502	12	22	18	1
DBS	4036	22251502	13	18	18	1
DBS	4036	22251502	14	28	7	1
DJ-1	11315	22245093	14	26	8	1
A	1984	22245043	7	2	2	1
FA	2175	22241380	4	46	9	1
FA	2175	22241380	6	17	4	1
FA	2175	22241380	7	64	17	1
ANOVA	4858	22241380	7	64	2	1
P	7776	22241380	7	64	42	1
FA	2175	22241380	9	45	3	1
P	7776	22241380	9	45	21	1
A	1984	22239959	2	14	1	1
PINK1	65018	22238344	4	31	10	0
MARK2	2011	22238344	4	31	7	0
PINK1	65018	22238344	5	12	9	0
MARK2	2011	22238344	5	12	1	0
PINK1	65018	22238344	7	18	9	0
PINK1	65018	22238344	8	10	3	0
MARK2	2011	22238344	8	10	1	0
PINK1	65018	22238344	9	18	13	0
MARK2	2011	22238344	10	7	4	0
PINK1	65018	22238344	11	27	10	0
MARK2	2011	22238344	11	27	4	0
A	1984	22237833	5	26	1	1
A	1984	22237833	8	13	1	1
P	7776	22237722	13	32	15	1
