DiseaseName	PMID	Sentence index	The # of total tokens	Location of token
parkinson Disease	22377809	3	29	27
parkinson Disease	22377809	3	29	27
parkinson Disease	22377809	3	29	27
parkinson Disease	22376158	5	36	14
parkinson Disease	22376158	5	36	14
parkinson Disease	22376158	5	36	14
parkinson Disease	22376158	7	16	8
parkinson Disease	22376158	7	16	8
parkinson Disease	22376158	7	16	8
parkinson Disease	22371705	2	20	19
parkinson Disease	22371705	2	20	19
parkinson Disease	22371705	2	20	19
parkinson Disease	22371705	4	52	39
parkinson Disease	22371705	4	52	39
parkinson Disease	22371705	4	52	39
parkinson Disease	22371611	2	13	4
parkinson Disease	22371611	2	13	4
parkinson Disease	22371611	2	13	4
parkinson Disease	22371611	3	57	40
parkinson Disease	22371611	3	57	40
parkinson Disease	22371611	3	57	40
parkinson Disease	22371415	2	9	1
parkinson Disease	22371284	2	12	1
parkinson Disease	22371282	2	14	1
parkinson Disease	22367998	2	11	10
parkinson Disease	22367998	2	11	10
parkinson Disease	22367998	2	11	10
parkinson Disease	22367998	3	25	11
parkinson Disease	22367998	3	25	11
parkinson Disease	22367998	3	25	11
parkinson Disease	22367997	2	10	9
parkinson Disease	22367997	2	10	9
parkinson Disease	22367997	2	10	9
parkinson Disease	22367997	4	18	16
parkinson Disease	22367997	4	18	16
parkinson Disease	22367997	4	18	16
parkinson Disease	22367997	5	36	30
parkinson Disease	22367997	5	36	30
parkinson Disease	22367997	5	36	30
parkinson Disease	22367474	2	11	10
parkinson Disease	22367474	2	11	10
parkinson Disease	22367474	2	11	10
parkinson Disease	22367474	3	33	13
parkinson Disease	22367474	4	26	9
parkinson Disease	22367474	4	26	9
parkinson Disease	22367474	4	26	10
parkinson Disease	22367474	4	26	10
parkinson Disease	22367474	4	26	10
parkinson Disease	22367474	5	25	8
parkinson Disease	22367474	12	13	2
parkinson Disease	22367474	12	13	2
parkinson Disease	22367474	12	13	2
parkinson Disease	22367436	4	24	20
parkinson Disease	22367436	4	24	20
parkinson Disease	22367436	4	24	20
parkinson Disease	22366274	3	30	15
parkinson Disease	22366274	3	30	15
parkinson Disease	22366274	3	30	15
parkinson Disease	22366274	5	37	3
parkinson Disease	22366274	5	37	3
parkinson Disease	22366274	5	37	3
parkinson Disease	22366274	14	19	7
parkinson Disease	22362921	2	18	17
parkinson Disease	22362921	2	18	17
parkinson Disease	22362921	2	18	17
parkinson Disease	22362921	3	20	4
parkinson Disease	22362921	3	20	4
parkinson Disease	22362921	3	20	4
parkinson Disease	22362921	5	59	39
parkinson Disease	22362921	5	59	39
parkinson Disease	22362921	5	59	39
parkinson Disease	22361583	3	30	11
parkinson Disease	22361583	3	30	11
parkinson Disease	22361583	3	30	11
parkinson Disease	22361581	3	29	3
parkinson Disease	22359591	2	21	20
parkinson Disease	22359591	2	21	20
parkinson Disease	22359591	2	21	20
parkinson Disease	22359591	3	20	18
parkinson Disease	22359591	3	20	18
parkinson Disease	22359591	3	20	18
parkinson Disease	22357511	3	46	42
parkinson Disease	22357511	3	46	42
parkinson Disease	22357511	3	46	42
parkinson Disease	22354395	3	12	3
parkinson Disease	22354395	3	12	3
parkinson Disease	22354395	3	12	3
parkinson Disease	22354395	6	34	9
parkinson Disease	22354157	2	20	13
parkinson Disease	22354157	2	20	14
parkinson Disease	22354157	2	20	14
parkinson Disease	22354157	2	20	14
parkinson Disease	22354157	3	43	18
parkinson Disease	22354157	3	43	19
parkinson Disease	22354157	3	43	19
parkinson Disease	22354157	3	43	19
parkinson Disease	22354088	3	22	13
parkinson Disease	22354088	3	22	13
parkinson Disease	22354088	3	22	13
parkinson Disease	22353987	2	14	13
parkinson Disease	22353987	2	14	13
parkinson Disease	22353987	2	14	13
parkinson Disease	22353987	8	20	8
parkinson Disease	22353987	8	20	8
parkinson Disease	22353987	8	20	8
parkinson Disease	22353727	2	18	6
parkinson Disease	22353727	2	18	6
parkinson Disease	22353727	2	18	6
parkinson Disease	22353727	3	20	11
parkinson Disease	22353727	3	20	11
parkinson Disease	22353727	3	20	11
parkinson Disease	22351797	6	46	41
parkinson Disease	22350538	2	8	5
parkinson Disease	22350538	3	19	6
parkinson Disease	22350538	3	19	6
parkinson Disease	22350538	3	19	6
parkinson Disease	22349549	2	11	1
parkinson Disease	22344625	2	13	12
parkinson Disease	22344625	2	13	12
parkinson Disease	22344625	2	13	12
parkinson Disease	22344625	3	17	15
parkinson Disease	22344625	3	17	15
parkinson Disease	22344625	3	17	15
parkinson Disease	22343151	2	10	5
parkinson Disease	22343151	2	10	5
parkinson Disease	22343151	2	10	5
parkinson Disease	22343151	3	28	13
parkinson Disease	22343151	3	28	13
parkinson Disease	22343151	3	28	13
parkinson Disease	22342763	3	22	9
parkinson Disease	22342763	3	22	9
parkinson Disease	22342763	3	22	9
parkinson Disease	22341818	2	13	12
parkinson Disease	22341818	2	13	12
parkinson Disease	22341818	2	13	12
parkinson Disease	22341818	4	30	29
parkinson Disease	22341818	4	30	29
parkinson Disease	22341818	4	30	29
parkinson Disease	22341818	15	25	23
parkinson Disease	22341818	15	25	23
parkinson Disease	22341818	15	25	23
parkinson Disease	22341622	2	13	12
parkinson Disease	22341622	2	13	12
parkinson Disease	22341622	2	13	12
parkinson Disease	22341622	3	30	18
parkinson Disease	22341622	3	30	18
parkinson Disease	22341622	3	30	18
parkinson Disease	22341622	6	28	10
parkinson Disease	22339293	3	19	6
parkinson Disease	22336720	4	39	25
parkinson Disease	22336720	4	39	25
parkinson Disease	22336720	4	39	25
parkinson Disease	22336192	3	13	12
parkinson Disease	22336192	3	13	12
parkinson Disease	22336192	3	13	12
parkinson Disease	22334391	10	30	29
parkinson Disease	22334391	10	30	29
parkinson Disease	22334391	10	30	29
parkinson Disease	22334107	2	10	8
parkinson Disease	22334107	2	10	8
parkinson Disease	22334107	2	10	8
parkinson Disease	22334107	4	17	12
parkinson Disease	22334107	4	17	12
parkinson Disease	22334107	4	17	12
parkinson Disease	22334107	6	16	14
parkinson Disease	22334107	6	16	14
parkinson Disease	22334107	6	16	14
parkinson Disease	22334107	8	30	4
parkinson Disease	22334107	8	30	4
parkinson Disease	22334107	8	30	4
parkinson Disease	22334107	19	16	14
parkinson Disease	22334107	19	16	14
parkinson Disease	22334107	19	16	14
parkinson Disease	22334107	21	13	2
parkinson Disease	22333397	2	10	9
parkinson Disease	22333397	3	28	12
parkinson Disease	22333397	3	28	12
parkinson Disease	22333397	3	28	12
parkinson Disease	22333397	6	10	9
parkinson Disease	22333397	6	10	9
parkinson Disease	22333397	6	10	9
parkinson Disease	22333397	10	26	22
parkinson Disease	22333397	10	26	22
parkinson Disease	22333397	10	26	22
parkinson Disease	22333397	11	17	16
parkinson Disease	22333397	11	17	16
parkinson Disease	22333397	11	17	16
parkinson Disease	22333397	16	24	8
parkinson Disease	22328094	8	33	25
parkinson Disease	22323779	2	18	11
parkinson Disease	22323779	3	27	1
parkinson Disease	22323779	3	27	1
parkinson Disease	22323779	3	27	1
parkinson Disease	22323748	2	9	8
parkinson Disease	22323748	2	9	8
parkinson Disease	22323748	2	9	8
parkinson Disease	22323748	3	13	11
parkinson Disease	22323748	3	13	11
parkinson Disease	22323748	3	13	11
parkinson Disease	22323745	2	8	1
parkinson Disease	22323745	3	31	5
parkinson Disease	22323745	3	31	5
parkinson Disease	22323745	3	31	5
parkinson Disease	22323743	2	13	8
parkinson Disease	22323743	2	13	8
parkinson Disease	22323743	2	13	8
parkinson Disease	22323743	3	38	12
parkinson Disease	22323743	3	38	12
parkinson Disease	22323743	3	38	12
parkinson Disease	22321866	2	20	17
parkinson Disease	22321866	2	20	17
parkinson Disease	22321866	2	20	17
parkinson Disease	22321866	3	33	2
parkinson Disease	22321866	3	33	2
parkinson Disease	22321866	3	33	2
parkinson Disease	22321866	15	28	4
parkinson Disease	22321866	15	28	4
parkinson Disease	22321866	15	28	4
parkinson Disease	22321864	2	18	3
parkinson Disease	22319547	2	17	15
parkinson Disease	22319547	2	17	15
parkinson Disease	22319547	2	17	15
parkinson Disease	22319547	3	30	15
parkinson Disease	22319547	3	30	15
parkinson Disease	22319547	3	30	15
parkinson Disease	22316445	2	10	9
parkinson Disease	22316445	2	10	9
parkinson Disease	22316445	2	10	9
parkinson Disease	22316445	3	19	3
parkinson Disease	22316445	3	19	3
parkinson Disease	22316445	3	19	3
parkinson Disease	22316445	5	24	22
parkinson Disease	22316445	5	24	22
parkinson Disease	22316445	5	24	23
parkinson Disease	22316445	5	24	23
parkinson Disease	22316445	5	24	23
parkinson Disease	22316445	9	28	21
parkinson Disease	22316445	9	28	21
parkinson Disease	22316445	9	28	21
parkinson Disease	22316445	15	24	13
parkinson Disease	22315971	2	28	27
parkinson Disease	22315971	2	28	27
parkinson Disease	22315971	2	28	27
parkinson Disease	22315971	3	22	19
parkinson Disease	22315971	3	22	20
parkinson Disease	22315971	3	22	20
parkinson Disease	22315971	3	22	20
parkinson Disease	22315428	10	30	14
parkinson Disease	22314796	2	11	7
parkinson Disease	22314796	2	11	7
parkinson Disease	22314796	2	11	7
parkinson Disease	22310988	2	15	1
parkinson Disease	22307450	3	33	32
parkinson Disease	22307450	4	24	4
parkinson Disease	22307450	8	20	8
parkinson Disease	22307450	8	20	8
parkinson Disease	22307450	8	20	8
parkinson Disease	22303740	6	29	2
parkinson Disease	22303740	6	29	2
parkinson Disease	22303740	6	29	2
parkinson Disease	22301995	2	18	17
parkinson Disease	22301995	2	18	17
parkinson Disease	22301995	2	18	17
parkinson Disease	22301995	3	21	15
parkinson Disease	22301995	3	21	15
parkinson Disease	22301995	3	21	15
parkinson Disease	22301995	6	29	28
parkinson Disease	22301995	6	29	28
parkinson Disease	22301995	6	29	28
parkinson Disease	22301561	3	19	14
parkinson Disease	22298861	3	19	13
parkinson Disease	22298861	3	19	13
parkinson Disease	22298861	3	19	13
