Name	DiseaseName	PMID	Sentence index	The # of total tokens	Location of token	which abbreviation
parkinson disease	parkinson Disease	22377809	3	29	27	8
parkinson disease	parkinson Disease	22377809	3	29	27	10
parkinson	parkinson Disease	22377809	3	29	27	20
parkinson disease	parkinson Disease	22376158	5	36	14	8
parkinson disease	parkinson Disease	22376158	5	36	14	10
parkinson	parkinson Disease	22376158	5	36	14	20
parkinson's	parkinson Disease	22376158	7	16	8	11
parkinson's disease	parkinson Disease	22376158	7	16	8	12
parkinson's disease	parkinson Disease	22376158	7	16	8	15
parkinson disease	parkinson Disease	22371705	2	20	19	8
parkinson disease	parkinson Disease	22371705	2	20	19	10
parkinson	parkinson Disease	22371705	2	20	19	20
parkinson disease	parkinson Disease	22371705	4	52	39	8
parkinson disease	parkinson Disease	22371705	4	52	39	10
parkinson	parkinson Disease	22371705	4	52	39	20
parkinson disease	parkinson Disease	22371611	2	13	4	8
parkinson disease	parkinson Disease	22371611	2	13	4	10
parkinson	parkinson Disease	22371611	2	13	4	20
parkinson disease	parkinson Disease	22371611	3	57	40	8
parkinson disease	parkinson Disease	22371611	3	57	40	10
parkinson	parkinson Disease	22371611	3	57	40	20
parkinson	parkinson Disease	22371415	2	9	1	20
parkinson	parkinson Disease	22371284	2	12	1	20
parkinson	parkinson Disease	22371282	2	14	1	20
parkinson disease	parkinson Disease	22367998	2	11	10	8
parkinson disease	parkinson Disease	22367998	2	11	10	10
parkinson	parkinson Disease	22367998	2	11	10	20
parkinson disease	parkinson Disease	22367998	3	25	11	8
parkinson disease	parkinson Disease	22367998	3	25	11	10
parkinson	parkinson Disease	22367998	3	25	11	20
parkinson disease	parkinson Disease	22367997	2	10	9	8
parkinson disease	parkinson Disease	22367997	2	10	9	10
parkinson	parkinson Disease	22367997	2	10	9	20
parkinson disease	parkinson Disease	22367997	4	18	16	8
parkinson disease	parkinson Disease	22367997	4	18	16	10
parkinson	parkinson Disease	22367997	4	18	16	20
parkinson disease	parkinson Disease	22367997	5	36	30	8
parkinson disease	parkinson Disease	22367997	5	36	30	10
parkinson	parkinson Disease	22367997	5	36	30	20
parkinson's	parkinson Disease	22367474	2	11	10	11
parkinson's disease	parkinson Disease	22367474	2	11	10	12
parkinson's disease	parkinson Disease	22367474	2	11	10	15
parkinson's	parkinson Disease	22367474	3	33	13	11
idiopathic parkinson's disease	parkinson Disease	22367474	4	26	9	1
idiopathic parkinson's disease	parkinson Disease	22367474	4	26	9	2
parkinson's	parkinson Disease	22367474	4	26	10	11
parkinson's disease	parkinson Disease	22367474	4	26	10	12
parkinson's disease	parkinson Disease	22367474	4	26	10	15
parkinson	parkinson Disease	22367474	5	25	8	20
parkinson's	parkinson Disease	22367474	12	13	2	11
parkinson's disease	parkinson Disease	22367474	12	13	2	12
parkinson's disease	parkinson Disease	22367474	12	13	2	15
parkinson disease	parkinson Disease	22367436	4	24	20	8
parkinson disease	parkinson Disease	22367436	4	24	20	10
parkinson	parkinson Disease	22367436	4	24	20	20
parkinson's	parkinson Disease	22366274	3	30	15	11
parkinson's disease	parkinson Disease	22366274	3	30	15	12
parkinson's disease	parkinson Disease	22366274	3	30	15	15
parkinson's	parkinson Disease	22366274	5	37	3	11
parkinson's disease	parkinson Disease	22366274	5	37	3	12
parkinson's disease	parkinson Disease	22366274	5	37	3	15
parkinson	parkinson Disease	22366274	14	19	7	20
parkinson's	parkinson Disease	22362921	2	18	17	11
parkinson's disease	parkinson Disease	22362921	2	18	17	12
parkinson's disease	parkinson Disease	22362921	2	18	17	15
parkinson's	parkinson Disease	22362921	3	20	4	11
parkinson's disease	parkinson Disease	22362921	3	20	4	12
parkinson's disease	parkinson Disease	22362921	3	20	4	15
parkinson's	parkinson Disease	22362921	5	59	39	11
parkinson's disease	parkinson Disease	22362921	5	59	39	12
parkinson's disease	parkinson Disease	22362921	5	59	39	15
parkinson disease	parkinson Disease	22361583	3	30	11	8
parkinson disease	parkinson Disease	22361583	3	30	11	10
parkinson	parkinson Disease	22361583	3	30	11	20
parkinson	parkinson Disease	22361581	3	29	3	20
parkinson disease	parkinson Disease	22359591	2	21	20	8
parkinson disease	parkinson Disease	22359591	2	21	20	10
parkinson	parkinson Disease	22359591	2	21	20	20
parkinson disease	parkinson Disease	22359591	3	20	18	8
parkinson disease	parkinson Disease	22359591	3	20	18	10
parkinson	parkinson Disease	22359591	3	20	18	20
parkinson disease	parkinson Disease	22357511	3	46	42	8
parkinson disease	parkinson Disease	22357511	3	46	42	10
parkinson	parkinson Disease	22357511	3	46	42	20
parkinson's	parkinson Disease	22354395	3	12	3	11
parkinson's disease	parkinson Disease	22354395	3	12	3	12
parkinson's disease	parkinson Disease	22354395	3	12	3	15
parkinson	parkinson Disease	22354395	6	34	9	20
idiopathic parkinson disease	parkinson Disease	22354157	2	20	13	0
parkinson disease	parkinson Disease	22354157	2	20	14	8
parkinson disease	parkinson Disease	22354157	2	20	14	10
parkinson	parkinson Disease	22354157	2	20	14	20
idiopathic parkinson disease	parkinson Disease	22354157	3	43	18	0
parkinson disease	parkinson Disease	22354157	3	43	19	8
parkinson disease	parkinson Disease	22354157	3	43	19	10
parkinson	parkinson Disease	22354157	3	43	19	20
parkinson's	parkinson Disease	22354088	3	22	13	11
parkinson's disease	parkinson Disease	22354088	3	22	13	12
parkinson's disease	parkinson Disease	22354088	3	22	13	15
parkinson disease	parkinson Disease	22353987	2	14	13	8
parkinson disease	parkinson Disease	22353987	2	14	13	10
parkinson	parkinson Disease	22353987	2	14	13	20
parkinson disease	parkinson Disease	22353987	8	20	8	8
parkinson disease	parkinson Disease	22353987	8	20	8	10
parkinson	parkinson Disease	22353987	8	20	8	20
parkinson disease	parkinson Disease	22353727	2	18	6	8
parkinson disease	parkinson Disease	22353727	2	18	6	10
parkinson	parkinson Disease	22353727	2	18	6	20
parkinson disease	parkinson Disease	22353727	3	20	11	8
parkinson disease	parkinson Disease	22353727	3	20	11	10
parkinson	parkinson Disease	22353727	3	20	11	20
parkinson	parkinson Disease	22351797	6	46	41	20
parkinson	parkinson Disease	22350538	2	8	5	20
parkinson disease	parkinson Disease	22350538	3	19	6	8
parkinson disease	parkinson Disease	22350538	3	19	6	10
parkinson	parkinson Disease	22350538	3	19	6	20
parkinson	parkinson Disease	22349549	2	11	1	20
parkinson's	parkinson Disease	22344625	2	13	12	11
parkinson's disease	parkinson Disease	22344625	2	13	12	12
parkinson's disease	parkinson Disease	22344625	2	13	12	15
parkinson's	parkinson Disease	22344625	3	17	15	11
parkinson's disease	parkinson Disease	22344625	3	17	15	12
parkinson's disease	parkinson Disease	22344625	3	17	15	15
parkinson disease	parkinson Disease	22343151	2	10	5	8
parkinson disease	parkinson Disease	22343151	2	10	5	10
parkinson	parkinson Disease	22343151	2	10	5	20
parkinson disease	parkinson Disease	22343151	3	28	13	8
parkinson disease	parkinson Disease	22343151	3	28	13	10
parkinson	parkinson Disease	22343151	3	28	13	20
parkinson disease	parkinson Disease	22342763	3	22	9	8
parkinson disease	parkinson Disease	22342763	3	22	9	10
parkinson	parkinson Disease	22342763	3	22	9	20
parkinson disease	parkinson Disease	22341818	2	13	12	8
parkinson disease	parkinson Disease	22341818	2	13	12	10
parkinson	parkinson Disease	22341818	2	13	12	20
