GeneName	PMID	Sentence index	The # of total tokens	Location of token
7431	22377809	2	12	7
1984	22377809	3	29	14
6688	22377809	3	29	5
6688	22377809	4	17	6
7431	22377809	6	10	6
7431	22377809	7	10	8
1984	22377809	8	35	16
4036	22377809	8	35	25
6688	22377809	8	35	7
6688	22377809	9	13	6
1984	22377809	10	35	9
6688	22377809	10	35	13
7431	22377809	10	35	34
1984	22377809	12	15	10
81624	22377809	13	26	10
1984	22377809	13	26	5
4036	22377809	13	26	3
5080	22377809	13	26	10
57379	22377809	14	24	7
6688	22377809	14	24	11
1984	22376158	2	19	16
6688	22376158	2	19	2
1984	22376158	3	21	10
6688	22376158	3	21	4
1984	22376158	4	26	18
4036	22376158	4	26	6
6688	22376158	4	26	5
1984	22376158	5	36	6
6688	22376158	5	36	5
1984	22376158	6	43	16
6688	22376158	6	43	6
1984	22376158	7	16	2
6688	22376158	7	16	4
6688	22376158	8	9	4
6688	22376158	9	15	2
6678	22376158	10	10	8
1984	22376158	11	24	1
81624	22376158	12	18	6
1984	22376158	12	18	10
5080	22376158	12	18	6
6688	22376158	12	18	16
4036	22376158	14	19	19
6688	22376158	14	19	13
6688	22371705	2	20	2
6688	22371705	3	21	3
1984	22371705	4	52	17
5833	22371705	4	52	24
6688	22371705	4	52	47
7173	22371705	5	32	9
7173	22371705	6	37	3
1984	22371705	7	36	12
6688	22371705	7	36	5
7173	22371705	7	36	30
6688	22371705	8	18	13
1984	22371611	3	57	3
5548	22371611	4	24	21
1984	22371611	5	29	18
6688	22371611	5	29	17
1984	22371611	6	31	5
6688	22371611	6	31	27
81624	22371611	7	20	18
5080	22371611	7	20	18
6688	22371611	7	20	9
6678	22371611	8	37	27
6688	22371611	8	37	12
6862	22371611	8	37	2
5548	22371611	9	58	21
6688	22371611	9	58	14
7776	22371611	9	58	56
6688	22371611	10	14	12
1984	22371611	11	45	40
6688	22371611	11	45	20
5548	22371611	12	23	14
6688	22371282	2	14	11
6688	22367998	2	11	5
6688	22367998	3	25	10
1984	22367998	5	17	10
6688	22367998	5	17	4
6688	22367998	6	16	2
6688	22367998	8	39	6
1984	22367998	9	23	9
6688	22367998	9	23	16
1984	22367998	10	39	4
6688	22367998	10	39	14
6688	22367998	11	20	3
6688	22367998	12	19	17
6688	22367998	13	13	10
1984	22367997	5	36	24
6688	22367997	5	36	21
3033	22367997	9	18	5
6688	22367997	9	18	3
7776	22367997	10	43	32
1984	22367997	11	25	2
7776	22367997	11	25	23
6688	22367997	12	42	37
7776	22367997	12	42	26
6688	22367997	13	19	14
4709	22367474	2	11	4
7126	22367474	2	11	4
4709	22367474	3	33	29
6688	22367474	3	33	24
7126	22367474	3	33	29
6688	22367474	5	25	4
2523	22367474	6	30	11
4709	22367474	6	30	26
6688	22367474	6	30	2
7126	22367474	6	30	26
6688	22367474	7	14	12
1984	22367474	9	17	1
4709	22367474	10	18	14
7126	22367474	10	18	14
1984	22367474	11	21	2
4709	22367474	11	21	14
7126	22367474	11	21	14
4709	22367474	12	13	10
7126	22367474	12	13	10
6688	22367474	13	20	4
6688	22367436	2	16	2
6688	22367436	3	14	5
6688	22367436	5	29	7
3033	22367436	6	16	7
6688	22367436	6	16	4
3033	22367436	7	37	17
6678	22367436	7	37	20
6688	22367436	7	37	9
7776	22367436	7	37	35
6688	22367436	8	50	4
7776	22367436	8	50	21
6688	22367436	9	25	5
6688	22367436	10	24	15
25978	22366797	2	12	9
4280	22366797	2	12	12
25978	22366797	4	10	9
6688	22366797	4	10	7
25978	22366797	5	16	3
4280	22366797	5	16	5
25978	22366797	6	23	3
4280	22366797	6	23	5
6688	22366797	6	23	19
25978	22366797	7	25	24
81624	22366797	8	27	8
25978	22366797	8	27	5
4280	22366797	8	27	1
5080	22366797	8	27	8
25978	22366797	9	29	7
1984	22366797	9	29	25
4280	22366797	9	29	9
6688	22366797	9	29	27
25978	22366797	10	23	12
6688	22366797	10	23	8
81624	22366274	2	12	9
5080	22366274	2	12	9
6688	22366274	2	12	6
6688	22366274	3	30	14
6688	22366274	4	17	15
1984	22366274	5	37	34
2523	22366274	5	37	32
6688	22366274	5	37	24
1984	22366274	7	21	12
6862	22366274	8	13	2
6678	22366274	9	12	1
6688	22366274	9	12	10
613	22366274	10	20	7
2523	22366274	10	20	17
6678	22366274	11	28	5
6688	22366274	11	28	3
1984	22366274	12	17	4
6678	22366274	12	17	10
6688	22366274	13	25	14
6688	22366274	14	19	16
6688	22362921	2	18	2
6678	22362921	3	20	18
6688	22362921	3	20	3
3036	22362921	4	21	6
6688	22362921	4	21	3
6678	22362921	5	59	36
6688	22362921	5	59	7
3033	22362921	6	39	21
6688	22362921	6	39	6
613	22362921	7	38	5
1984	22362921	7	38	8
3033	22362921	7	38	7
6688	22362921	7	38	1
6688	22362921	8	86	10
6688	22361583	3	30	3
6688	22361583	4	22	15
8239	22361583	4	22	5
6688	22361583	5	23	17
8239	22361583	5	23	3
1984	22361583	6	19	15
8239	22361583	6	19	2
6688	22361581	3	29	18
81624	22361581	4	18	4
6532	22361581	4	18	11
5080	22361581	4	18	4
6532	22361581	7	27	21
4280	22361581	7	27	22
6688	22361581	7	27	11
1984	22359591	2	21	16
6688	22359591	2	21	4
6531	22359591	3	20	3
6688	22359591	4	25	19
6531	22359591	5	41	14
6688	22359591	5	41	31
6531	22359591	6	33	28
6688	22359591	6	33	3
1057	22359591	7	56	31
6531	22359591	7	56	4
7776	22359591	7	56	43
6531	22359591	8	21	5
6688	22359591	8	21	2
6531	22359591	9	36	5
6688	22359591	9	36	15
6688	22357511	2	7	3
6688	22357511	3	46	31
1057	22357511	4	27	19
6688	22357511	4	27	15
1984	22357511	5	20	13
6688	22357511	5	20	12
17	22357511	6	20	9
6678	22357511	6	20	1
6688	22357511	6	20	12
1057	22357511	7	30	30
1984	22357511	7	30	7
6678	22357511	7	30	1
6688	22357511	7	30	22
81624	22357511	8	38	26
1984	22357511	8	38	2
5080	22357511	8	38	26
6688	22357511	8	38	5
81624	22357511	9	57	28
5080	22357511	9	57	28
6678	22357511	9	57	30
6688	22357511	9	57	7
6688	22354395	4	24	17
6688	22354395	5	31	28
6688	22354395	6	34	3
81624	22354157	2	20	1
5080	22354157	2	20	1
6688	22354157	2	20	5
1984	22354157	3	43	5
6531	22354157	3	43	31
6688	22354157	3	43	8
3036	22354157	4	20	3
6531	22354157	4	20	11
6678	22354157	4	20	7
6688	22354157	4	20	10
6531	22354157	5	27	8
6688	22354157	5	27	13
6531	22354157	8	23	2
1984	22354157	9	24	12
6531	22354157	9	24	3
6688	22354157	9	24	19
6531	22354157	10	32	10
65018	22354088	2	10	5
1984	22354088	3	22	16
1984	22354088	4	17	9
65018	22354088	4	17	4
65018	22354088	5	37	9
6043	22354088	5	37	20
6678	22354088	5	37	11
6688	22354088	5	37	34
81624	22354088	6	27	2
5080	22354088	6	27	2
65018	22354088	6	27	26
10200	22354088	7	15	14
65018	22354088	7	15	4
10200	22354088	8	27	5
65018	22354088	8	27	2
1984	22354088	9	19	4
10200	22354088	9	19	8
65018	22354088	9	19	10
1984	22353987	2	14	1
613	22353987	3	19	5
6688	22353987	4	11	3
81624	22353987	5	31	9
922	22353987	5	31	2
1786	22353987	5	31	2
5080	22353987	5	31	9
6688	22353987	5	31	3
1984	22353987	6	23	18
1984	22353987	7	18	14
3036	22353987	7	18	6
6688	22353987	7	18	3
5978	22353987	8	20	13
6688	22353987	8	20	2
613	22353987	9	42	36
1984	22353987	9	42	40
6678	22353987	9	42	12
6688	22353987	9	42	3
6688	22353987	11	24	8
6688	22353727	2	18	2
3033	22353727	6	15	8
6688	22353727	6	15	2
1984	22353727	7	13	7
3033	22353727	7	13	6
6688	22353727	7	13	10
6688	22353727	8	11	8
6688	22353727	10	22	10
6688	22353727	12	13	11
1984	22353727	13	18	9
6688	22353727	13	18	13
1984	22353727	14	18	5
1984	22351797	2	11	9
6688	22351797	4	18	3
6688	22351797	5	10	8
1984	22351797	6	46	3
6688	22351797	6	46	24
6688	22351797	7	22	3
613	22351797	10	35	2
6688	22351797	10	35	16
3483	22351797	11	13	2
6647	22351797	11	13	2
6688	22351797	11	13	8
3036	22351797	12	16	13
6688	22351797	12	16	4
6688	22351797	13	27	17
1984	22350538	4	19	1
6688	22350538	4	19	4
1984	22350538	5	23	4
6688	22350538	5	23	6
6688	22350538	6	57	17
81624	22350538	7	28	16
5080	22350538	7	28	16
6688	22350538	7	28	22
6678	22344625	2	13	8
6688	22344625	2	13	4
1984	22344625	4	23	15
81624	22344625	5	17	10
5080	22344625	5	17	10
922	22344625	6	15	3
1786	22344625	6	15	3
6688	22344625	6	15	14
81624	22344625	7	36	25
1984	22344625	7	36	12
5080	22344625	7	36	25
6678	22344625	7	36	11
6678	22344625	9	14	11
81624	22344625	11	18	9
5080	22344625	11	18	9
1984	22343151	3	28	4
6688	22343151	3	28	12
6678	22343151	4	24	1
6688	22343151	4	24	15
1984	22343151	5	27	15
6688	22343151	5	27	7
81624	22343151	6	26	12
3033	22343151	6	26	5
5080	22343151	6	26	12
81624	22343151	7	18	1
5080	22343151	7	18	1
6688	22343151	7	18	9
1984	22343151	8	17	7
6688	22343151	8	17	10
6688	22343151	9	10	3
81624	22342763	2	27	19
5080	22342763	2	27	19
6688	22342763	2	27	2
6688	22342763	3	22	17
1984	22342763	4	20	1
6688	22342763	4	20	4
1984	22342763	5	24	12
4504	22342763	5	24	5
6688	22342763	5	24	8
1984	22342763	6	27	7
6688	22342763	6	27	10
81624	22342763	7	31	1
5080	22342763	7	31	1
6688	22342763	7	31	5
1984	22342763	8	23	11
6678	22342763	8	23	10
6688	22342763	8	23	3
81624	22342763	9	43	31
5080	22342763	9	43	31
6688	22342763	9	43	4
81624	22342763	10	27	20
1984	22342763	10	27	24
5080	22342763	10	27	20
6678	22342763	10	27	19
6688	22342763	10	27	2
6688	22342763	11	30	17
1984	22342763	12	27	7
6688	22342763	13	12	11
81624	22342763	14	26	16
5080	22342763	14	26	16
1984	22342763	15	44	8
6688	22342763	15	44	38
81624	22341818	2	13	8
1057	22341818	2	13	2
5080	22341818	2	13	8
6688	22341818	2	13	11
1057	22341818	3	12	3
6678	22341818	3	12	10
1984	22341818	4	30	25
6678	22341818	4	30	21
6688	22341818	4	30	5
1984	22341818	5	21	4
6688	22341818	7	20	11
1057	22341818	10	31	12
6688	22341818	10	31	25
1984	22341818	11	16	5
1057	22341818	13	13	3
6688	22341818	13	13	8
6688	22341818	14	22	13
1057	22341818	15	25	2
1984	22341818	15	25	22
345651	22341818	16	14	7
440915	22341818	16	14	7
641455	22341818	16	14	7
71	22341818	16	14	7
72	22341818	16	14	7
1057	22341818	16	14	13
6678	22341818	16	14	8
4036	22341622	3	30	26
6678	22341622	3	30	27
6688	22341622	3	30	24
4036	22341622	4	20	13
6678	22341622	4	20	14
6688	22341622	4	20	3
4036	22341622	5	16	8
1984	22341622	8	28	8
6688	22341622	9	9	5
4036	22341622	10	24	23
6688	22341622	10	24	2
166	22341622	12	15	15
1984	22341622	13	18	7
81624	22341622	14	24	22
1984	22341622	14	24	13
5080	22341622	14	24	22
6678	22341622	14	24	21
4036	22341622	15	17	12
6678	22341622	15	17	13
6688	22341622	15	17	10
613	22339293	3	19	10
6688	22339293	3	19	17
1984	22339293	4	20	12
6688	22339293	4	20	11
81624	22339293	6	29	24
1984	22339293	6	29	16
5080	22339293	6	29	24
1984	22339293	8	32	24
3036	22339293	8	32	3
6688	22339293	9	18	16
1984	22336720	2	10	8
1984	22336720	3	32	28
6688	22336720	3	32	14
6688	22336720	4	39	5
1984	22336720	5	33	13
6688	22336720	5	33	3
6688	22336720	7	23	7
6688	22336720	10	32	28
6688	22336192	2	11	2
55737	22336192	2	11	3
1984	22336192	3	13	6
55737	22336192	3	13	1
1984	22336192	4	35	29
6688	22336192	4	35	10
55737	22336192	4	35	14
55997	22336192	5	27	20
1984	22336192	5	27	19
6688	22336192	6	29	4
1984	22336192	7	24	7
6688	22336192	7	24	17
55737	22336192	7	24	11
6688	22334391	3	16	7
81624	22334391	4	25	9
5080	22334391	4	25	9
6678	22334391	4	25	11
6688	22334391	4	25	3
1984	22334391	5	28	20
6688	22334391	5	28	22
6678	22334391	6	16	14
1984	22334391	8	16	8
6678	22334391	9	36	14
6688	22334391	9	36	35
1984	22334391	10	30	12
3036	22334391	10	30	2
6688	22334391	10	30	11
6688	22334391	12	31	26
6688	22334107	2	10	2
6688	22334107	4	17	4
1984	22334107	5	24	20
6688	22334107	5	24	22
1984	22334107	6	16	11
6688	22334107	6	16	8
10541	22334107	7	25	15
1984	22334107	7	25	2
6688	22334107	7	25	7
8741	22334107	7	25	15
613	22334107	8	30	21
1984	22334107	9	16	7
1984	22334107	10	21	17
6688	22334107	11	20	15
6688	22334107	12	17	10
613	22334107	14	9	1
1984	22334107	15	17	5
7776	22334107	15	17	15
1984	22334107	16	39	21
1984	22334107	17	21	9
1984	22333397	3	28	20
3033	22333397	6	10	4
3483	22333397	6	10	5
6647	22333397	6	10	5
6688	22333397	6	10	2
1984	22333397	9	14	4
613	22333397	10	26	10
3483	22333397	10	26	16
6647	22333397	10	26	16
3483	22333397	11	17	11
6647	22333397	11	17	11
6688	22333397	11	17	4
6678	22333397	12	24	14
6688	22333397	12	24	6
1984	22333397	14	24	8
6688	22333397	14	24	12
81624	22333397	16	24	13
3483	22333397	16	24	6
5080	22333397	16	24	13
6647	22333397	16	24	6
6688	22333397	16	24	3
1984	22333068	3	18	11
3036	22333068	4	32	13
6688	22333068	4	32	31
6688	22333068	5	19	3
6688	22333068	6	8	4
1984	22333068	8	13	2
6688	22333068	8	13	5
613	22333068	9	23	4
6688	22333068	9	23	3
6678	22333068	10	26	12
6688	22333068	10	26	4
81624	22333068	11	21	4
5080	22333068	11	21	4
6678	22333068	11	21	11
6688	22333068	11	21	14
1984	22333068	12	29	12
6688	22333068	12	29	15
81624	22328094	2	17	11
5080	22328094	2	17	11
