Gene	score
7431	109.0909090909091
4036	0
1984	756.7676767676768
7173	0
5548	0
7776	111.11111111111111
4709	0
7126	0
25978	0
6862	0
8239	0
6532	0
6531	0
17	0
65018	0
6043	0
10200	0
3483	0
6647	0
166	0
55737	0
8288	0
3034	0
140683	0
5723	0
5623	0
427	0
120892	122.22222222222223
64663	0
10899	0
225	0
4548	0
8011	0
161882	0
2629	111.11111111111111
5047	0
5506	0
11316	0
8408	0
22915	0
1431	0
23400	0
51761	0
2147	0
11315	0
2175	0
4858	0
2011	0
8934	1401.1111111111109
254428	172.22222222222223
10059	0
6678	0
9446	0
2996	0
4810	0
641	0
3929	0
283	0
6622	0
683	0
2580	0
4937	0
8190	0
2523	0
64146	0
5201	0
1576	0
5071	0
4137	0
5663	0
5664	0
7124	0
133418	0
3920	0
11311	0
3009	0
6013	0
6907	0
2870	0
26765	0
6044	0
4151	0
54187	0
6302	0
28503	0
1825	0
129521	0
26258	0
4580	0
1881	0
6311	0
596	0
80331	0
1677	0
57695	0
7903	0
83636	0
100188011	0
23151	0
1831	0
5833	0
10153	0
92170	0
2069	0
4663	0
51667	0
5933	0
3356	0
3358	0
1378	0
8301	0
1191	0
5252	0
10438	0
1981	0
3646	0
28874	0
2710	0
6688	0
27090	0
583	0
79705	0
948	0
5444	0
799	0
811	0
6535	0
28899	0
3673	0
55806	0
11076	0
80005	0
84669	0
1756	0
9514	0
54897	0
353	0
4217	0
5599	0
51540	0
6886	0
4905	0
10497	0
27074	0
1761	0
3664	0
3122	0
2932	0
5072	0
6869	0
1815	0
4129	0
7003	0
1312	0
1813	0
27165	0
4286	0
2596	0
8877	0
5594	0
142	0
1511	0
4780	0
7040	0
207	0
950	0
84894	0
28905	0
728695	0
2861	0
759	0
4318	0
1769	0
3163	0
5695	0
4902	0
27429	0
3181	0
755	0
170589	0
23545	0
718	0
6722	0
2624	0
56142	0
5553	0
3185	0
54910	0
5743	0
4353	0
9027	0
10505	0
23435	0
10603	0
3818	0
9496	0
2282	0
2283	0
2284	0
2285	0
100289419	0
968	0
