Probe	pvalue
209904_at	3.34946308088556e-35
217046_s_at	1.87803894384818e-34
209470_s_at	2.44272050324759e-34
235649_at	1.16400245119787e-33
AFFX-HUMGAPDH/M33197_M_at	2.25483522080783e-33
210081_at	6.80151651431665e-33
212581_x_at	2.91358205307023e-32
206742_at	1.45878860365327e-31
217398_x_at	4.67787442818738e-31
213453_x_at	9.50930061336306e-31
213451_x_at	1.80203609274387e-30
232122_s_at	4.55056787399308e-30
AFFX-HUMGAPDH/M33197_3_at	4.78009237162502e-30
208609_s_at	6.80641384764408e-30
213900_at	2.00399548598778e-29
209469_at	3.30646281638851e-29
AFFX-HUMGAPDH/M33197_5_at	5.02162676834966e-29
206093_x_at	5.29295087630737e-29
238018_at	5.41981428088935e-29
219866_at	6.14245603136336e-29
216333_x_at	7.62914976586061e-29
222608_s_at	1.88563813764371e-28
225915_at	2.31877167070773e-28
205384_at	2.32711484394419e-28
226627_at	2.60398391809623e-28
204273_at	3.07416580866715e-28
202870_s_at	3.53776085873918e-28
203662_s_at	5.39175151973519e-28
32625_at	5.52701923081384e-28
201292_at	5.65280865542266e-28
219719_at	1.0685090030221e-27
207547_s_at	1.17901084104758e-27
213011_s_at	1.2095685660036e-27
222520_s_at	1.24504433317716e-27
226992_at	1.57236448052879e-27
226397_s_at	2.5298953187804e-27
201291_s_at	3.13632079276599e-27
235670_at	5.15263284672261e-27
219909_at	7.20477630656864e-27
227419_x_at	8.28824515164772e-27
228967_at	1.13898858724711e-26
204931_at	1.22795364817693e-26
218723_s_at	1.33437460758226e-26
206701_x_at	1.72623979555599e-26
209074_s_at	1.75506141577686e-26
206167_s_at	1.97845735538501e-26
221133_s_at	2.85739276884711e-26
209773_s_at	3.15735014881898e-26
225655_at	3.72192558623968e-26
1556037_s_at	4.56913548022031e-26
221132_at	4.71782149357933e-26
224061_at	6.38339149430822e-26
206651_s_at	7.15200876656783e-26
219452_at	7.48263310805863e-26
227178_at	1.02155183929463e-25
214687_x_at	1.14738275211017e-25
229308_at	1.51398437834897e-25
212975_at	1.53380923919539e-25
204825_at	1.59056503268903e-25
210052_s_at	1.69704534790316e-25
214710_s_at	1.79394181027186e-25
230132_at	1.83284132480874e-25
217871_s_at	2.35488739217111e-25
201890_at	2.41038346226597e-25
1554408_a_at	3.37448373333415e-25
200822_x_at	3.64977095369853e-25
202705_at	4.558630684228e-25
223623_at	5.49038148278756e-25
206068_s_at	5.85490078203943e-25
204271_s_at	5.96639829450765e-25
225855_at	7.48440813888064e-25
204026_s_at	7.70462868525415e-25
235155_at	8.66746202813056e-25
224428_s_at	9.76572436140628e-25
235427_at	9.8039245866889e-25
201013_s_at	1.08628084652218e-24
240890_at	1.18936145881769e-24
209710_at	1.33347742168958e-24
204719_at	1.3830411248739e-24
228568_at	1.48837995190784e-24
223311_s_at	1.5847274068405e-24
222738_at	1.66598272698294e-24
206069_s_at	1.7668050330764e-24
202095_s_at	1.77154176584712e-24
212680_x_at	1.79365026586941e-24
201014_s_at	1.82030201758476e-24
219230_at	1.96359834094681e-24
227874_at	1.97758733695222e-24
222717_at	1.98431095813937e-24
228273_at	2.17330547499238e-24
205107_s_at	2.21273426249195e-24
204580_at	2.49605228768157e-24
223229_at	2.78326715554378e-24
205200_at	2.96823413419335e-24
243818_at	3.02979344112079e-24
214096_s_at	3.3086056778795e-24
209408_at	3.48026499758672e-24
229529_at	3.7190233514636e-24
209292_at	3.98971700956001e-24
230135_at	4.14097344370815e-24
